"factor","treatment_number","coef","sd","pval"
"Free Audiobook Provided",30,0.967,0.282,0.001
"Exercise Commitment Contract Explained",14,0.637,0.259,0.014
"Higher Incentives a",35,0.596,0.202,0.003
"Free Audiobook Provided, Temptation Bundling Explained",31,0.456,0.177,0.01
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.431,0.192,0.025
"Rigidity Rewarded a",48,0.425,0.19,0.025
"Following Workout Plan Encouraged",29,0.409,0.214,0.056
"Planning Fallacy Described and Planning Revision Encouraged",40,0.408,0.184,0.027
"Rigidity Rewarded c",50,0.347,0.153,0.023
"Bonus for Variable Exercise Schedule",6,0.31,0.185,0.093
"Bonus for Consistent Exercise Schedule",3,0.301,0.177,0.09
"Planning, Reminders & Micro-Incentives to Exercise",44,0.291,0.18,0.107
"Bonus for Returning after Missed Workouts a",4,0.286,0.305,0.348
"Exercise Fun Facts Shared",20,0.285,0.164,0.083
"Planning Workouts Encouraged",42,0.262,0.211,0.216
"Exercise Social Norms Shared (Low)",24,0.247,0.197,0.21
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.241,0.206,0.242
"Exercise Social Norms Shared (High and Increasing)",21,0.237,0.157,0.131
"Rigidity Rewarded e",52,0.229,0.169,0.175
"Fitness Questionnaire with Decision Support",27,0.226,0.17,0.183
"Gain-Framed Micro-Incentives",33,0.223,0.178,0.212
"Planning Revision Encouraged",41,0.221,0.173,0.201
"Values Affirmation",53,0.209,0.191,0.273
"Exercise Commitment Contract Encouraged",13,0.201,0.223,0.369
"Exercise Encouraged with Signed Pledge",18,0.185,0.22,0.4
"Loss-Framed Micro-Incentives",37,0.183,0.144,0.204
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.177,0.147,0.227
"Planning Benefits Explained",39,0.176,0.163,0.279
"Bonus for Returning after Missed Workouts b",5,0.175,0.23,0.447
"Gym Routine Encouraged",34,0.16,0.17,0.347
"Values Affirmation Followed by Diagnosis as Gritty",54,0.148,0.145,0.306
"Fun Workouts Encouraged",32,0.138,0.158,0.383
"Reflecting on Workouts Rewarded",46,0.133,0.164,0.417
"Exercise Commitment Contract Explained Post-Intervention",15,0.11,0.182,0.543
"Planning Workouts Rewarded",43,0.11,0.26,0.671
"Exercise Encouraged with Typed Pledge",19,0.108,0.311,0.729
"Effective Workouts Encouraged",10,0.106,0.19,0.578
"Rigidity Rewarded d",51,0.099,0.215,0.644
"Asked Questions about Workouts",2,0.074,0.228,0.746
"Fitness Questionnaire",25,0.07,0.213,0.741
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.069,0.164,0.674
"Exercise Encouraged with E-Signed Pledge",17,0.05,0.202,0.806
"Rigidity Rewarded b",49,0.042,0.185,0.819
"Defaulted into 3 Weekly Workouts",9,0.035,0.153,0.817
"Exercise Advice Solicited",11,0.017,0.174,0.923
"Reflecting on Workouts Encouraged",45,0.017,0.195,0.929
"Placebo Control",1,0,0,0
"Higher Incentives b",36,-0.022,0.193,0.911
"Exercise Social Norms Shared (Low but Increasing)",23,-0.038,0.223,0.866
"Rewarded for Responding to Questions about Workouts",47,-0.042,0.315,0.893
"Exercise Advice Solicited, Shared with Others",12,-0.056,0.203,0.782
"Defaulted into 1 Weekly Workout",8,-0.084,0.169,0.621
"Exercise Encouraged",16,-0.089,0.154,0.56
"Exercise Social Norms Shared (High)",22,-0.172,0.202,0.396
