"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts a",4,0.793,0.259,0.002
"Bonus for Returning after Missed Workouts b",5,0.732,0.194,0
"Free Audiobook Provided, Temptation Bundling Explained",31,0.675,0.24,0.005
"Rigidity Rewarded c",50,0.548,0.27,0.043
"Higher Incentives a",35,0.531,0.255,0.037
"Values Affirmation",53,0.51,0.258,0.049
"Defaulted into 3 Weekly Workouts",9,0.5,0.138,0
"Gym Routine Encouraged",34,0.456,0.177,0.01
"Exercise Advice Solicited",11,0.434,0.164,0.008
"Exercise Social Norms Shared (High and Increasing)",21,0.432,0.145,0.003
"Following Workout Plan Encouraged",29,0.423,0.152,0.005
"Rigidity Rewarded e",52,0.395,0.181,0.029
"Planning Workouts Encouraged",42,0.354,0.179,0.048
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.342,0.21,0.104
"Planning, Reminders & Micro-Incentives to Exercise",44,0.339,0.209,0.105
"Exercise Commitment Contract Explained",14,0.338,0.223,0.129
"Exercise Encouraged with Typed Pledge",19,0.33,0.178,0.063
"Exercise Social Norms Shared (High)",22,0.326,0.185,0.078
"Planning Fallacy Described and Planning Revision Encouraged",40,0.32,0.198,0.107
"Defaulted into 1 Weekly Workout",8,0.317,0.152,0.037
"Rigidity Rewarded b",49,0.305,0.157,0.051
"Rigidity Rewarded a",48,0.3,0.241,0.212
"Gain-Framed Micro-Incentives",33,0.285,0.143,0.046
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.283,0.135,0.036
"Exercise Commitment Contract Explained Post-Intervention",15,0.275,0.209,0.188
"Exercise Social Norms Shared (Low)",24,0.275,0.135,0.042
"Reflecting on Workouts Encouraged",45,0.258,0.142,0.068
"Fitness Questionnaire",25,0.252,0.155,0.103
"Fun Workouts Encouraged",32,0.244,0.138,0.078
"Reflecting on Workouts Rewarded",46,0.238,0.153,0.119
"Exercise Commitment Contract Encouraged",13,0.209,0.176,0.234
"Loss-Framed Micro-Incentives",37,0.206,0.172,0.23
"Planning Revision Encouraged",41,0.202,0.223,0.366
"Exercise Encouraged with E-Signed Pledge",17,0.192,0.215,0.371
"Effective Workouts Encouraged",10,0.174,0.153,0.255
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.168,0.167,0.316
"Values Affirmation Followed by Diagnosis as Gritty",54,0.137,0.238,0.564
"Exercise Encouraged with Signed Pledge",18,0.131,0.212,0.536
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.121,0.182,0.503
"Rewarded for Responding to Questions about Workouts",47,0.114,0.259,0.66
"Bonus for Variable Exercise Schedule",6,0.103,0.204,0.611
"Exercise Encouraged",16,0.098,0.205,0.634
"Free Audiobook Provided",30,0.096,0.352,0.786
"Planning Workouts Rewarded",43,0.074,0.159,0.642
"Bonus for Consistent Exercise Schedule",3,0.068,0.15,0.653
"Exercise Fun Facts Shared",20,0.062,0.156,0.69
"Exercise Advice Solicited, Shared with Others",12,0.054,0.208,0.796
"Placebo Control",1,0,0,0
"Exercise Social Norms Shared (Low but Increasing)",23,-0.007,0.169,0.965
"Fitness Questionnaire with Decision Support",27,-0.007,0.188,0.97
"Planning Benefits Explained",39,-0.066,0.225,0.767
"Higher Incentives b",36,-0.083,0.228,0.717
"Asked Questions about Workouts",2,-0.112,0.209,0.591
"Rigidity Rewarded d",51,-0.223,0.225,0.322
