"factor","treatment_number","coef","sd","pval"
"Rigidity Rewarded a",48,0.484,0.203,0.017
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.427,0.214,0.046
"Exercise Commitment Contract Explained",14,0.427,0.258,0.099
"Higher Incentives a",35,0.416,0.248,0.094
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.371,0.212,0.08
"Defaulted into 3 Weekly Workouts",9,0.342,0.186,0.066
"Exercise Encouraged with Typed Pledge",19,0.307,0.264,0.245
"Bonus for Returning after Missed Workouts a",4,0.306,0.202,0.13
"Planning Fallacy Described and Planning Revision Encouraged",40,0.297,0.231,0.199
"Planning Revision Encouraged",41,0.272,0.224,0.224
"Values Affirmation",53,0.237,0.204,0.245
"Reflecting on Workouts Rewarded",46,0.23,0.184,0.212
"Bonus for Returning after Missed Workouts b",5,0.228,0.224,0.308
"Free Audiobook Provided, Temptation Bundling Explained",31,0.223,0.253,0.377
"Exercise Social Norms Shared (Low)",24,0.209,0.189,0.269
"Exercise Social Norms Shared (High and Increasing)",21,0.194,0.185,0.296
"Rigidity Rewarded b",49,0.193,0.228,0.399
"Loss-Framed Micro-Incentives",37,0.191,0.192,0.319
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.182,0.188,0.333
"Exercise Encouraged with E-Signed Pledge",17,0.172,0.215,0.423
"Exercise Fun Facts Shared",20,0.16,0.212,0.449
"Exercise Encouraged with Signed Pledge",18,0.146,0.19,0.444
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.144,0.183,0.432
"Rigidity Rewarded e",52,0.139,0.206,0.501
"Gain-Framed Micro-Incentives",33,0.136,0.187,0.467
"Rigidity Rewarded c",50,0.136,0.234,0.562
"Exercise Commitment Contract Explained Post-Intervention",15,0.133,0.191,0.488
"Exercise Advice Solicited",11,0.101,0.196,0.605
"Planning Workouts Encouraged",42,0.092,0.225,0.683
"Fun Workouts Encouraged",32,0.088,0.175,0.616
"Exercise Social Norms Shared (Low but Increasing)",23,0.068,0.197,0.731
"Following Workout Plan Encouraged",29,0.066,0.198,0.74
"Planning Workouts Rewarded",43,0.061,0.187,0.743
"Higher Incentives b",36,0.06,0.43,0.889
"Asked Questions about Workouts",2,0.047,0.347,0.892
"Fitness Questionnaire",25,0.041,0.174,0.813
"Planning, Reminders & Micro-Incentives to Exercise",44,0.032,0.23,0.889
"Values Affirmation Followed by Diagnosis as Gritty",54,0.021,0.272,0.939
"Exercise Encouraged",16,0.011,0.189,0.955
"Placebo Control",1,0,0,0
"Gym Routine Encouraged",34,0,0.215,0.999
"Exercise Social Norms Shared (High)",22,-0.001,0.251,0.996
"Rigidity Rewarded d",51,-0.013,0.226,0.956
"Fitness Questionnaire with Decision Support",27,-0.019,0.241,0.938
"Bonus for Consistent Exercise Schedule",3,-0.029,0.186,0.877
"Effective Workouts Encouraged",10,-0.031,0.203,0.879
"Rewarded for Responding to Questions about Workouts",47,-0.047,0.19,0.805
"Bonus for Variable Exercise Schedule",6,-0.063,0.302,0.835
"Exercise Commitment Contract Encouraged",13,-0.085,0.195,0.664
"Exercise Advice Solicited, Shared with Others",12,-0.121,0.188,0.519
"Reflecting on Workouts Encouraged",45,-0.163,0.217,0.453
"Defaulted into 1 Weekly Workout",8,-0.186,0.195,0.338
"Free Audiobook Provided",30,-0.276,0.336,0.411
"Planning Benefits Explained",39,-0.316,0.234,0.177
