"factor","treatment_number","coef","sd","pval"
"Asked Questions about Workouts",2,0.62,0.269,0.021
"Exercise Commitment Contract Explained",14,0.433,0.23,0.06
"Bonus for Returning after Missed Workouts b",5,0.43,0.212,0.042
"Higher Incentives a",35,0.376,0.201,0.061
"Bonus for Returning after Missed Workouts a",4,0.356,0.23,0.121
"Free Audiobook Provided, Temptation Bundling Explained",31,0.34,0.199,0.088
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.29,0.201,0.149
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.275,0.198,0.165
"Defaulted into 3 Weekly Workouts",9,0.269,0.166,0.105
"Exercise Fun Facts Shared",20,0.256,0.17,0.133
"Higher Incentives b",36,0.25,0.213,0.24
"Loss-Framed Micro-Incentives",37,0.232,0.196,0.237
"Values Affirmation",53,0.207,0.172,0.228
"Fun Workouts Encouraged",32,0.201,0.168,0.233
"Values Affirmation Followed by Diagnosis as Gritty",54,0.195,0.158,0.218
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.188,0.177,0.286
"Exercise Social Norms Shared (High and Increasing)",21,0.181,0.174,0.299
"Gain-Framed Micro-Incentives",33,0.18,0.217,0.408
"Effective Workouts Encouraged",10,0.17,0.163,0.297
"Bonus for Variable Exercise Schedule",6,0.16,0.215,0.458
"Bonus for Consistent Exercise Schedule",3,0.152,0.216,0.482
"Rigidity Rewarded d",51,0.145,0.201,0.472
"Planning Fallacy Described and Planning Revision Encouraged",40,0.142,0.198,0.474
"Planning Workouts Rewarded",43,0.138,0.251,0.583
"Exercise Encouraged",16,0.132,0.197,0.505
"Exercise Social Norms Shared (Low)",24,0.126,0.154,0.411
"Fitness Questionnaire",25,0.122,0.157,0.438
"Rigidity Rewarded e",52,0.121,0.156,0.437
"Reflecting on Workouts Rewarded",46,0.103,0.166,0.536
"Exercise Social Norms Shared (Low but Increasing)",23,0.085,0.168,0.614
"Following Workout Plan Encouraged",29,0.071,0.199,0.724
"Gym Routine Encouraged",34,0.071,0.192,0.713
"Exercise Commitment Contract Explained Post-Intervention",15,0.058,0.17,0.734
"Exercise Advice Solicited",11,0.048,0.163,0.769
"Planning, Reminders & Micro-Incentives to Exercise",44,0.035,0.17,0.835
"Exercise Social Norms Shared (High)",22,0.024,0.178,0.895
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.019,0.15,0.897
"Exercise Encouraged with Signed Pledge",18,0.013,0.164,0.935
"Placebo Control",1,0,0,0
"Rewarded for Responding to Questions about Workouts",47,-0.012,0.207,0.954
"Planning Revision Encouraged",41,-0.018,0.167,0.915
"Exercise Encouraged with E-Signed Pledge",17,-0.027,0.182,0.88
"Exercise Encouraged with Typed Pledge",19,-0.059,0.289,0.838
"Rigidity Rewarded b",49,-0.068,0.163,0.677
"Defaulted into 1 Weekly Workout",8,-0.075,0.17,0.661
"Planning Benefits Explained",39,-0.077,0.203,0.705
"Exercise Commitment Contract Encouraged",13,-0.099,0.171,0.563
"Exercise Advice Solicited, Shared with Others",12,-0.112,0.195,0.564
"Planning Workouts Encouraged",42,-0.133,0.245,0.586
"Reflecting on Workouts Encouraged",45,-0.167,0.197,0.397
"Fitness Questionnaire with Decision Support",27,-0.191,0.167,0.253
"Rigidity Rewarded a",48,-0.191,0.221,0.387
"Rigidity Rewarded c",50,-0.244,0.225,0.278
"Free Audiobook Provided",30,-0.361,0.328,0.271
