"factor","treatment_number","coef","sd","pval"
"Free Audiobook Provided",30,0.486,0.28,0.083
"Higher Incentives a",35,0.441,0.206,0.032
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.409,0.174,0.019
"Bonus for Returning after Missed Workouts b",5,0.379,0.292,0.194
"Bonus for Consistent Exercise Schedule",3,0.344,0.224,0.124
"Exercise Social Norms Shared (High and Increasing)",21,0.331,0.17,0.051
"Higher Incentives b",36,0.305,0.235,0.194
"Free Audiobook Provided, Temptation Bundling Explained",31,0.304,0.21,0.148
"Asked Questions about Workouts",2,0.299,0.2,0.135
"Bonus for Returning after Missed Workouts a",4,0.298,0.215,0.165
"Planning Fallacy Described and Planning Revision Encouraged",40,0.298,0.214,0.164
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.278,0.163,0.088
"Effective Workouts Encouraged",10,0.251,0.168,0.136
"Rigidity Rewarded a",48,0.249,0.171,0.146
"Values Affirmation",53,0.23,0.209,0.271
"Fun Workouts Encouraged",32,0.229,0.164,0.164
"Following Workout Plan Encouraged",29,0.204,0.186,0.275
"Rigidity Rewarded c",50,0.198,0.205,0.332
"Planning, Reminders & Micro-Incentives to Exercise",44,0.146,0.179,0.414
"Exercise Encouraged with Typed Pledge",19,0.139,0.351,0.692
"Exercise Commitment Contract Explained Post-Intervention",15,0.138,0.188,0.461
"Rewarded for Responding to Questions about Workouts",47,0.132,0.219,0.547
"Planning Benefits Explained",39,0.128,0.168,0.447
"Exercise Fun Facts Shared",20,0.111,0.176,0.53
"Exercise Advice Solicited, Shared with Others",12,0.09,0.224,0.689
"Reflecting on Workouts Encouraged",45,0.086,0.16,0.592
"Exercise Advice Solicited",11,0.074,0.158,0.642
"Exercise Social Norms Shared (Low)",24,0.071,0.156,0.649
"Rigidity Rewarded e",52,0.064,0.159,0.689
"Gym Routine Encouraged",34,0.063,0.166,0.705
"Exercise Commitment Contract Explained",14,0.056,0.178,0.753
"Values Affirmation Followed by Diagnosis as Gritty",54,0.046,0.169,0.787
"Exercise Encouraged",16,0.032,0.2,0.873
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.031,0.147,0.831
"Defaulted into 3 Weekly Workouts",9,0.018,0.178,0.918
"Loss-Framed Micro-Incentives",37,0.005,0.216,0.983
"Planning Workouts Rewarded",43,0.003,0.178,0.987
"Placebo Control",1,0,0,0
"Defaulted into 1 Weekly Workout",8,-0,0.158,0.999
"Gain-Framed Micro-Incentives",33,-0.01,0.235,0.965
"Bonus for Variable Exercise Schedule",6,-0.014,0.213,0.946
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.026,0.172,0.882
"Fitness Questionnaire",25,-0.031,0.147,0.834
"Planning Revision Encouraged",41,-0.069,0.204,0.733
"Exercise Commitment Contract Encouraged",13,-0.091,0.201,0.652
"Exercise Encouraged with Signed Pledge",18,-0.093,0.235,0.692
"Rigidity Rewarded d",51,-0.105,0.153,0.493
"Planning Workouts Encouraged",42,-0.113,0.193,0.556
"Exercise Encouraged with E-Signed Pledge",17,-0.128,0.191,0.501
"Fitness Questionnaire with Decision Support",27,-0.131,0.193,0.496
"Rigidity Rewarded b",49,-0.146,0.214,0.496
"Exercise Social Norms Shared (Low but Increasing)",23,-0.203,0.184,0.27
"Exercise Social Norms Shared (High)",22,-0.225,0.245,0.36
"Reflecting on Workouts Rewarded",46,-0.307,0.156,0.05
