"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts b",5,0.642,0.319,0.044
"Free Audiobook Provided",30,0.626,0.335,0.062
"Exercise Social Norms Shared (High and Increasing)",21,0.347,0.197,0.079
"Fitness Questionnaire",25,0.314,0.202,0.12
"Higher Incentives a",35,0.285,0.27,0.29
"Values Affirmation",53,0.252,0.204,0.216
"Planning Fallacy Described and Planning Revision Encouraged",40,0.25,0.202,0.216
"Planning Workouts Rewarded",43,0.244,0.249,0.327
"Exercise Advice Solicited",11,0.227,0.196,0.246
"Planning, Reminders & Micro-Incentives to Exercise",44,0.209,0.218,0.337
"Free Audiobook Provided, Temptation Bundling Explained",31,0.208,0.228,0.361
"Exercise Commitment Contract Explained",14,0.201,0.219,0.357
"Gain-Framed Micro-Incentives",33,0.19,0.185,0.304
"Rigidity Rewarded a",48,0.19,0.248,0.444
"Exercise Encouraged",16,0.171,0.215,0.425
"Asked Questions about Workouts",2,0.157,0.435,0.718
"Higher Incentives b",36,0.155,0.329,0.638
"Reflecting on Workouts Encouraged",45,0.137,0.178,0.44
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.133,0.191,0.487
"Bonus for Returning after Missed Workouts a",4,0.117,0.193,0.543
"Reflecting on Workouts Rewarded",46,0.113,0.186,0.543
"Bonus for Consistent Exercise Schedule",3,0.094,0.189,0.62
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.087,0.192,0.651
"Defaulted into 3 Weekly Workouts",9,0.08,0.183,0.663
"Rigidity Rewarded d",51,0.075,0.224,0.737
"Exercise Social Norms Shared (Low)",24,0.062,0.187,0.741
"Fun Workouts Encouraged",32,0.06,0.214,0.778
"Fitness Questionnaire with Decision Support",27,0.049,0.224,0.828
"Following Workout Plan Encouraged",29,0.046,0.19,0.809
"Planning Workouts Encouraged",42,0.037,0.227,0.872
"Effective Workouts Encouraged",10,0.036,0.215,0.866
"Exercise Commitment Contract Encouraged",13,0.034,0.206,0.869
"Defaulted into 1 Weekly Workout",8,0.017,0.2,0.932
"Exercise Social Norms Shared (Low but Increasing)",23,0.012,0.192,0.949
"Rigidity Rewarded e",52,0.005,0.18,0.976
"Placebo Control",1,0,0,0
"Loss-Framed Micro-Incentives",37,-0.013,0.183,0.942
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,-0.025,0.19,0.896
"Exercise Social Norms Shared (High)",22,-0.035,0.209,0.867
"Exercise Encouraged with Signed Pledge",18,-0.047,0.266,0.859
"Planning Revision Encouraged",41,-0.048,0.219,0.828
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.057,0.197,0.771
"Exercise Commitment Contract Explained Post-Intervention",15,-0.076,0.193,0.695
"Bonus for Variable Exercise Schedule",6,-0.088,0.227,0.698
"Values Affirmation Followed by Diagnosis as Gritty",54,-0.119,0.186,0.522
"Exercise Fun Facts Shared",20,-0.125,0.233,0.591
"Exercise Advice Solicited, Shared with Others",12,-0.148,0.212,0.486
"Planning Benefits Explained",39,-0.173,0.238,0.466
"Rewarded for Responding to Questions about Workouts",47,-0.174,0.192,0.366
"Exercise Encouraged with Typed Pledge",19,-0.191,0.332,0.565
"Gym Routine Encouraged",34,-0.194,0.238,0.414
"Exercise Encouraged with E-Signed Pledge",17,-0.244,0.22,0.268
"Rigidity Rewarded c",50,-0.288,0.229,0.21
"Rigidity Rewarded b",49,-0.327,0.21,0.119
