"factor","treatment_number","coef","sd","pval"
"Exercise Social Norms Shared (High and Increasing)",21,0.584,0.224,0.009
"Free Audiobook Provided, Temptation Bundling Explained",31,0.503,0.23,0.029
"Asked Questions about Workouts",2,0.475,0.355,0.181
"Bonus for Returning after Missed Workouts b",5,0.459,0.281,0.102
"Bonus for Returning after Missed Workouts a",4,0.445,0.253,0.079
"Higher Incentives a",35,0.44,0.247,0.074
"Following Workout Plan Encouraged",29,0.412,0.172,0.017
"Planning Fallacy Described and Planning Revision Encouraged",40,0.402,0.187,0.032
"Exercise Encouraged with E-Signed Pledge",17,0.39,0.221,0.077
"Planning Workouts Rewarded",43,0.325,0.213,0.127
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.321,0.186,0.084
"Rigidity Rewarded a",48,0.297,0.243,0.222
"Exercise Commitment Contract Explained Post-Intervention",15,0.288,0.235,0.221
"Exercise Advice Solicited",11,0.277,0.181,0.126
"Planning, Reminders & Micro-Incentives to Exercise",44,0.264,0.183,0.15
"Exercise Fun Facts Shared",20,0.258,0.158,0.102
"Exercise Commitment Contract Explained",14,0.24,0.224,0.286
"Exercise Social Norms Shared (Low but Increasing)",23,0.238,0.175,0.173
"Planning Benefits Explained",39,0.225,0.205,0.273
"Fun Workouts Encouraged",32,0.224,0.167,0.18
"Rewarded for Responding to Questions about Workouts",47,0.208,0.192,0.279
"Defaulted into 3 Weekly Workouts",9,0.206,0.166,0.215
"Exercise Encouraged",16,0.196,0.211,0.352
"Reflecting on Workouts Rewarded",46,0.164,0.161,0.307
"Planning Revision Encouraged",41,0.132,0.193,0.492
"Free Audiobook Provided",30,0.125,0.219,0.568
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.118,0.193,0.541
"Exercise Encouraged with Signed Pledge",18,0.114,0.194,0.557
"Exercise Social Norms Shared (Low)",24,0.114,0.188,0.544
"Values Affirmation",53,0.111,0.186,0.551
"Reflecting on Workouts Encouraged",45,0.107,0.199,0.591
"Effective Workouts Encouraged",10,0.093,0.16,0.558
"Gain-Framed Micro-Incentives",33,0.093,0.169,0.583
"Bonus for Variable Exercise Schedule",6,0.083,0.149,0.577
"Fitness Questionnaire with Decision Support",27,0.071,0.238,0.765
"Defaulted into 1 Weekly Workout",8,0.069,0.209,0.741
"Exercise Encouraged with Typed Pledge",19,0.045,0.274,0.87
"Rigidity Rewarded e",52,0.038,0.165,0.82
"Bonus for Consistent Exercise Schedule",3,0.035,0.173,0.84
"Exercise Commitment Contract Encouraged",13,0.033,0.2,0.869
"Rigidity Rewarded b",49,0.021,0.218,0.922
"Loss-Framed Micro-Incentives",37,0.005,0.162,0.975
"Placebo Control",1,0,0,0
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0,0.215,1
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,-0.013,0.162,0.935
"Gym Routine Encouraged",34,-0.04,0.178,0.823
"Fitness Questionnaire",25,-0.054,0.185,0.77
"Values Affirmation Followed by Diagnosis as Gritty",54,-0.096,0.254,0.705
"Higher Incentives b",36,-0.097,0.324,0.766
"Rigidity Rewarded d",51,-0.103,0.196,0.599
"Planning Workouts Encouraged",42,-0.123,0.21,0.557
"Rigidity Rewarded c",50,-0.129,0.176,0.463
"Exercise Advice Solicited, Shared with Others",12,-0.139,0.197,0.481
"Exercise Social Norms Shared (High)",22,-0.263,0.215,0.222
