"factor","treatment_number","coef","sd","pval"
"Higher Incentives a",35,0.552,0.229,0.016
"Planning Fallacy Described and Planning Revision Encouraged",40,0.506,0.202,0.012
"Exercise Social Norms Shared (Low)",24,0.482,0.186,0.009
"Rigidity Rewarded c",50,0.479,0.239,0.045
"Exercise Commitment Contract Explained",14,0.424,0.267,0.112
"Following Workout Plan Encouraged",29,0.398,0.199,0.045
"Exercise Social Norms Shared (High and Increasing)",21,0.394,0.22,0.074
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.389,0.163,0.017
"Exercise Encouraged with Signed Pledge",18,0.337,0.213,0.114
"Fitness Questionnaire",25,0.329,0.218,0.131
"Planning Workouts Rewarded",43,0.312,0.211,0.138
"Planning, Reminders & Micro-Incentives to Exercise",44,0.312,0.151,0.039
"Bonus for Returning after Missed Workouts b",5,0.293,0.246,0.234
"Loss-Framed Micro-Incentives",37,0.282,0.193,0.143
"Exercise Fun Facts Shared",20,0.264,0.173,0.126
"Bonus for Returning after Missed Workouts a",4,0.263,0.214,0.219
"Values Affirmation Followed by Diagnosis as Gritty",54,0.262,0.164,0.111
"Rigidity Rewarded e",52,0.25,0.184,0.173
"Bonus for Consistent Exercise Schedule",3,0.248,0.221,0.263
"Planning Revision Encouraged",41,0.243,0.25,0.332
"Gain-Framed Micro-Incentives",33,0.225,0.203,0.268
"Exercise Advice Solicited",11,0.22,0.188,0.243
"Exercise Encouraged with Typed Pledge",19,0.205,0.275,0.455
"Gym Routine Encouraged",34,0.17,0.192,0.375
"Defaulted into 1 Weekly Workout",8,0.161,0.159,0.31
"Reflecting on Workouts Rewarded",46,0.161,0.143,0.261
"Values Affirmation",53,0.147,0.165,0.374
"Exercise Commitment Contract Explained Post-Intervention",15,0.137,0.189,0.468
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.129,0.161,0.423
"Higher Incentives b",36,0.113,0.323,0.726
"Free Audiobook Provided",30,0.11,0.181,0.545
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.106,0.16,0.505
"Fitness Questionnaire with Decision Support",27,0.086,0.19,0.65
"Defaulted into 3 Weekly Workouts",9,0.074,0.168,0.659
"Exercise Advice Solicited, Shared with Others",12,0.066,0.171,0.697
"Planning Workouts Encouraged",42,0.053,0.196,0.786
"Reflecting on Workouts Encouraged",45,0.051,0.189,0.786
"Planning Benefits Explained",39,0.044,0.217,0.839
"Fun Workouts Encouraged",32,0.019,0.152,0.901
"Placebo Control",1,0,0,0
"Effective Workouts Encouraged",10,-0.014,0.162,0.933
"Asked Questions about Workouts",2,-0.03,0.24,0.902
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,-0.048,0.15,0.749
"Bonus for Variable Exercise Schedule",6,-0.101,0.213,0.637
"Exercise Encouraged",16,-0.105,0.207,0.613
"Exercise Social Norms Shared (Low but Increasing)",23,-0.14,0.187,0.453
"Free Audiobook Provided, Temptation Bundling Explained",31,-0.15,0.225,0.506
"Rigidity Rewarded a",48,-0.151,0.253,0.552
"Rigidity Rewarded b",49,-0.157,0.225,0.487
"Exercise Encouraged with E-Signed Pledge",17,-0.181,0.162,0.261
"Exercise Commitment Contract Encouraged",13,-0.201,0.164,0.22
"Rigidity Rewarded d",51,-0.301,0.165,0.067
"Rewarded for Responding to Questions about Workouts",47,-0.341,0.275,0.215
"Exercise Social Norms Shared (High)",22,-0.356,0.17,0.037
