"factor","treatment_number","coef","sd","pval"
"Asked Questions about Workouts",2,0.53,0.313,0.091
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.373,0.205,0.069
"Free Audiobook Provided",30,0.34,0.257,0.185
"Exercise Fun Facts Shared",20,0.325,0.196,0.097
"Rigidity Rewarded a",48,0.315,0.234,0.179
"Exercise Encouraged with Typed Pledge",19,0.276,0.251,0.271
"Exercise Social Norms Shared (Low)",24,0.253,0.201,0.209
"Gain-Framed Micro-Incentives",33,0.24,0.197,0.223
"Planning Revision Encouraged",41,0.216,0.2,0.279
"Bonus for Returning after Missed Workouts b",5,0.205,0.177,0.248
"Exercise Social Norms Shared (High and Increasing)",21,0.193,0.178,0.28
"Higher Incentives a",35,0.175,0.201,0.383
"Values Affirmation Followed by Diagnosis as Gritty",54,0.168,0.18,0.349
"Exercise Advice Solicited",11,0.122,0.215,0.572
"Bonus for Returning after Missed Workouts a",4,0.101,0.288,0.725
"Exercise Encouraged with Signed Pledge",18,0.079,0.312,0.8
"Following Workout Plan Encouraged",29,0.076,0.202,0.708
"Gym Routine Encouraged",34,0.076,0.191,0.69
"Effective Workouts Encouraged",10,0.065,0.182,0.719
"Bonus for Variable Exercise Schedule",6,0.056,0.167,0.737
"Loss-Framed Micro-Incentives",37,0.05,0.176,0.776
"Defaulted into 3 Weekly Workouts",9,0.035,0.173,0.841
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.034,0.208,0.871
"Exercise Social Norms Shared (Low but Increasing)",23,0.024,0.168,0.889
"Higher Incentives b",36,0.023,0.2,0.907
"Rewarded for Responding to Questions about Workouts",47,0.012,0.198,0.951
"Values Affirmation",53,0.011,0.206,0.956
"Defaulted into 1 Weekly Workout",8,0.005,0.168,0.978
"Placebo Control",1,0,0,0
"Rigidity Rewarded e",52,-0.025,0.153,0.872
"Exercise Commitment Contract Explained",14,-0.027,0.166,0.872
"Fitness Questionnaire with Decision Support",27,-0.027,0.16,0.864
"Planning, Reminders & Micro-Incentives to Exercise",44,-0.028,0.384,0.941
"Reflecting on Workouts Rewarded",46,-0.042,0.169,0.803
"Planning Benefits Explained",39,-0.043,0.168,0.797
"Exercise Encouraged",16,-0.053,0.168,0.751
"Planning Fallacy Described and Planning Revision Encouraged",40,-0.061,0.237,0.798
"Rigidity Rewarded c",50,-0.082,0.208,0.692
"Planning Workouts Encouraged",42,-0.096,0.17,0.575
"Rigidity Rewarded b",49,-0.1,0.21,0.633
"Exercise Social Norms Shared (High)",22,-0.106,0.2,0.597
"Free Audiobook Provided, Temptation Bundling Explained",31,-0.111,0.208,0.593
"Reflecting on Workouts Encouraged",45,-0.135,0.197,0.494
"Planning Workouts Rewarded",43,-0.164,0.261,0.531
"Fitness Questionnaire",25,-0.172,0.16,0.283
"Exercise Commitment Contract Encouraged",13,-0.185,0.203,0.363
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,-0.186,0.174,0.286
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.203,0.174,0.243
"Fun Workouts Encouraged",32,-0.238,0.166,0.152
"Exercise Encouraged with E-Signed Pledge",17,-0.285,0.184,0.122
"Bonus for Consistent Exercise Schedule",3,-0.291,0.171,0.089
"Rigidity Rewarded d",51,-0.303,0.237,0.202
"Exercise Commitment Contract Explained Post-Intervention",15,-0.317,0.182,0.083
"Exercise Advice Solicited, Shared with Others",12,-0.331,0.182,0.069
