"factor","treatment_number","coef","sd","pval"
"Exercise Social Norms Shared (High and Increasing)",21,0.769,0.236,0.001
"Bonus for Returning after Missed Workouts b",5,0.659,0.292,0.024
"Exercise Social Norms Shared (Low)",24,0.577,0.176,0.001
"Free Audiobook Provided, Temptation Bundling Explained",31,0.575,0.232,0.013
"Free Audiobook Provided",30,0.565,0.209,0.007
"Bonus for Returning after Missed Workouts a",4,0.562,0.301,0.062
"Exercise Commitment Contract Explained Post-Intervention",15,0.557,0.181,0.002
"Rigidity Rewarded b",49,0.495,0.207,0.017
"Defaulted into 3 Weekly Workouts",9,0.472,0.169,0.005
"Higher Incentives b",36,0.454,0.161,0.005
"Planning Fallacy Described and Planning Revision Encouraged",40,0.446,0.195,0.022
"Exercise Encouraged with Typed Pledge",19,0.442,0.199,0.026
"Fitness Questionnaire",25,0.413,0.189,0.029
"Exercise Commitment Contract Encouraged",13,0.41,0.209,0.05
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.402,0.165,0.015
"Higher Incentives a",35,0.38,0.22,0.084
"Effective Workouts Encouraged",10,0.379,0.175,0.03
"Values Affirmation",53,0.374,0.159,0.019
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.343,0.208,0.1
"Bonus for Consistent Exercise Schedule",3,0.338,0.168,0.044
"Rigidity Rewarded e",52,0.333,0.159,0.036
"Exercise Encouraged",16,0.33,0.216,0.126
"Fitness Questionnaire with Decision Support",27,0.321,0.165,0.052
"Exercise Encouraged with Signed Pledge",18,0.314,0.159,0.048
"Gain-Framed Micro-Incentives",33,0.312,0.183,0.088
"Exercise Social Norms Shared (High)",22,0.31,0.227,0.173
"Rigidity Rewarded c",50,0.31,0.265,0.243
"Reflecting on Workouts Encouraged",45,0.295,0.192,0.125
"Rigidity Rewarded a",48,0.295,0.299,0.324
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.27,0.167,0.105
"Loss-Framed Micro-Incentives",37,0.252,0.218,0.248
"Exercise Advice Solicited",11,0.249,0.189,0.189
"Exercise Commitment Contract Explained",14,0.246,0.183,0.178
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.238,0.251,0.344
"Exercise Social Norms Shared (Low but Increasing)",23,0.233,0.185,0.207
"Following Workout Plan Encouraged",29,0.227,0.173,0.188
"Bonus for Variable Exercise Schedule",6,0.211,0.263,0.424
"Values Affirmation Followed by Diagnosis as Gritty",54,0.204,0.149,0.171
"Reflecting on Workouts Rewarded",46,0.203,0.157,0.196
"Exercise Fun Facts Shared",20,0.198,0.236,0.402
"Planning Workouts Encouraged",42,0.183,0.189,0.333
"Defaulted into 1 Weekly Workout",8,0.169,0.189,0.371
"Exercise Advice Solicited, Shared with Others",12,0.136,0.189,0.471
"Rewarded for Responding to Questions about Workouts",47,0.123,0.165,0.454
"Fun Workouts Encouraged",32,0.116,0.194,0.548
"Planning, Reminders & Micro-Incentives to Exercise",44,0.109,0.193,0.572
"Gym Routine Encouraged",34,0.108,0.206,0.6
"Planning Revision Encouraged",41,0.107,0.191,0.576
"Planning Benefits Explained",39,0.065,0.21,0.757
"Asked Questions about Workouts",2,0.029,0.29,0.92
"Placebo Control",1,0,0,0
"Rigidity Rewarded d",51,-0.021,0.28,0.94
"Exercise Encouraged with E-Signed Pledge",17,-0.103,0.163,0.53
"Planning Workouts Rewarded",43,-0.203,0.227,0.371
