"factor","treatment_number","coef","sd","pval"
"Asked Questions about Workouts",2,0.431,0.175,0.014
"Rigidity Rewarded a",48,0.322,0.23,0.162
"Exercise Social Norms Shared (High and Increasing)",21,0.304,0.194,0.116
"Free Audiobook Provided",30,0.286,0.204,0.162
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.276,0.201,0.169
"Exercise Commitment Contract Explained",14,0.266,0.177,0.133
"Following Workout Plan Encouraged",29,0.261,0.218,0.232
"Planning Fallacy Described and Planning Revision Encouraged",40,0.242,0.236,0.306
"Exercise Encouraged",16,0.229,0.191,0.231
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.228,0.185,0.219
"Exercise Encouraged with E-Signed Pledge",17,0.194,0.263,0.46
"Planning Workouts Encouraged",42,0.189,0.241,0.433
"Exercise Social Norms Shared (High)",22,0.12,0.202,0.554
"Planning, Reminders & Micro-Incentives to Exercise",44,0.115,0.238,0.629
"Bonus for Returning after Missed Workouts a",4,0.114,0.233,0.623
"Bonus for Returning after Missed Workouts b",5,0.103,0.193,0.593
"Exercise Advice Solicited",11,0.094,0.185,0.612
"Exercise Commitment Contract Explained Post-Intervention",15,0.085,0.183,0.641
"Defaulted into 3 Weekly Workouts",9,0.08,0.187,0.669
"Values Affirmation",53,0.078,0.181,0.667
"Exercise Encouraged with Signed Pledge",18,0.064,0.183,0.725
"Exercise Social Norms Shared (Low but Increasing)",23,0.055,0.154,0.721
"Rigidity Rewarded b",49,0.048,0.282,0.865
"Free Audiobook Provided, Temptation Bundling Explained",31,0.039,0.268,0.884
"Bonus for Consistent Exercise Schedule",3,0.037,0.24,0.879
"Gain-Framed Micro-Incentives",33,0.015,0.193,0.939
"Fun Workouts Encouraged",32,0.014,0.178,0.936
"Planning Workouts Rewarded",43,0.005,0.204,0.982
"Higher Incentives b",36,0.003,0.191,0.986
"Placebo Control",1,0,0,0
"Bonus for Variable Exercise Schedule",6,-0.006,0.192,0.974
"Reflecting on Workouts Encouraged",45,-0.014,0.162,0.932
"Effective Workouts Encouraged",10,-0.024,0.157,0.879
"Exercise Social Norms Shared (Low)",24,-0.031,0.175,0.859
"Rewarded for Responding to Questions about Workouts",47,-0.039,0.182,0.831
"Fitness Questionnaire",25,-0.044,0.196,0.825
"Gym Routine Encouraged",34,-0.065,0.165,0.693
"Rigidity Rewarded e",52,-0.074,0.184,0.686
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,-0.098,0.159,0.539
"Reflecting on Workouts Rewarded",46,-0.104,0.181,0.568
"Loss-Framed Micro-Incentives",37,-0.112,0.176,0.523
"Exercise Fun Facts Shared",20,-0.126,0.228,0.58
"Rigidity Rewarded d",51,-0.132,0.221,0.55
"Planning Revision Encouraged",41,-0.145,0.212,0.496
"Exercise Encouraged with Typed Pledge",19,-0.174,0.29,0.549
"Exercise Advice Solicited, Shared with Others",12,-0.192,0.2,0.337
"Planning Benefits Explained",39,-0.197,0.175,0.262
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.236,0.181,0.192
"Values Affirmation Followed by Diagnosis as Gritty",54,-0.243,0.24,0.312
"Exercise Commitment Contract Encouraged",13,-0.261,0.193,0.177
"Defaulted into 1 Weekly Workout",8,-0.279,0.171,0.102
"Higher Incentives a",35,-0.315,0.427,0.461
"Fitness Questionnaire with Decision Support",27,-0.345,0.195,0.076
"Rigidity Rewarded c",50,-0.355,0.237,0.134
