"factor","treatment_number","coef","sd","pval"
"Rigidity Rewarded a",48,0.501,0.191,0.009
"Bonus for Consistent Exercise Schedule",3,0.465,0.224,0.038
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.453,0.209,0.03
"Free Audiobook Provided, Temptation Bundling Explained",31,0.399,0.231,0.085
"Following Workout Plan Encouraged",29,0.339,0.245,0.166
"Planning Workouts Encouraged",42,0.307,0.233,0.188
"Exercise Encouraged with Typed Pledge",19,0.278,0.256,0.277
"Bonus for Returning after Missed Workouts b",5,0.258,0.239,0.28
"Asked Questions about Workouts",2,0.25,0.254,0.325
"Rigidity Rewarded c",50,0.245,0.255,0.335
"Values Affirmation",53,0.241,0.252,0.339
"Planning Workouts Rewarded",43,0.238,0.266,0.371
"Exercise Social Norms Shared (High and Increasing)",21,0.233,0.23,0.313
"Exercise Fun Facts Shared",20,0.219,0.174,0.207
"Rigidity Rewarded e",52,0.212,0.161,0.188
"Exercise Social Norms Shared (Low)",24,0.209,0.168,0.214
"Reflecting on Workouts Rewarded",46,0.194,0.154,0.209
"Loss-Framed Micro-Incentives",37,0.181,0.195,0.354
"Bonus for Returning after Missed Workouts a",4,0.177,0.2,0.377
"Exercise Advice Solicited",11,0.171,0.2,0.391
"Higher Incentives b",36,0.141,0.156,0.366
"Planning Revision Encouraged",41,0.131,0.206,0.525
"Rewarded for Responding to Questions about Workouts",47,0.126,0.181,0.488
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.125,0.163,0.445
"Free Audiobook Provided",30,0.121,0.238,0.613
"Exercise Commitment Contract Explained",14,0.098,0.196,0.616
"Fun Workouts Encouraged",32,0.092,0.174,0.596
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.091,0.165,0.583
"Reflecting on Workouts Encouraged",45,0.091,0.167,0.587
"Exercise Encouraged",16,0.083,0.189,0.662
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.08,0.207,0.698
"Planning Fallacy Described and Planning Revision Encouraged",40,0.079,0.179,0.66
"Rigidity Rewarded d",51,0.072,0.215,0.738
"Defaulted into 1 Weekly Workout",8,0.07,0.185,0.703
"Fitness Questionnaire with Decision Support",27,0.054,0.164,0.743
"Effective Workouts Encouraged",10,0.034,0.198,0.862
"Exercise Encouraged with Signed Pledge",18,0.028,0.161,0.862
"Planning, Reminders & Micro-Incentives to Exercise",44,0.028,0.183,0.879
"Gym Routine Encouraged",34,0.011,0.177,0.951
"Gain-Framed Micro-Incentives",33,0.008,0.258,0.976
"Placebo Control",1,0,0,0
"Exercise Encouraged with E-Signed Pledge",17,-0.002,0.243,0.992
"Exercise Commitment Contract Encouraged",13,-0.008,0.206,0.97
"Defaulted into 3 Weekly Workouts",9,-0.02,0.168,0.906
"Fitness Questionnaire",25,-0.022,0.183,0.903
"Values Affirmation Followed by Diagnosis as Gritty",54,-0.022,0.164,0.892
"Exercise Commitment Contract Explained Post-Intervention",15,-0.045,0.212,0.832
"Rigidity Rewarded b",49,-0.11,0.294,0.709
"Exercise Advice Solicited, Shared with Others",12,-0.198,0.195,0.309
"Bonus for Variable Exercise Schedule",6,-0.214,0.238,0.369
"Exercise Social Norms Shared (High)",22,-0.24,0.23,0.296
"Planning Benefits Explained",39,-0.264,0.218,0.225
"Exercise Social Norms Shared (Low but Increasing)",23,-0.286,0.21,0.175
"Higher Incentives a",35,-0.357,0.318,0.263
