"factor","treatment_number","coef","sd","pval"
"Exercise Encouraged with Typed Pledge",19,0.504,0.224,0.024
"Higher Incentives b",36,0.421,0.296,0.155
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.364,0.195,0.062
"Free Audiobook Provided, Temptation Bundling Explained",31,0.338,0.217,0.12
"Rigidity Rewarded d",51,0.308,0.242,0.204
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.302,0.224,0.177
"Following Workout Plan Encouraged",29,0.256,0.203,0.208
"Higher Incentives a",35,0.253,0.22,0.25
"Values Affirmation",53,0.247,0.238,0.3
"Bonus for Returning after Missed Workouts a",4,0.239,0.251,0.341
"Exercise Encouraged with Signed Pledge",18,0.232,0.189,0.22
"Exercise Social Norms Shared (High and Increasing)",21,0.222,0.174,0.203
"Exercise Fun Facts Shared",20,0.214,0.179,0.232
"Reflecting on Workouts Encouraged",45,0.188,0.158,0.234
"Planning Revision Encouraged",41,0.162,0.198,0.414
"Exercise Commitment Contract Explained Post-Intervention",15,0.158,0.175,0.368
"Defaulted into 3 Weekly Workouts",9,0.152,0.174,0.38
"Exercise Social Norms Shared (Low)",24,0.149,0.182,0.411
"Asked Questions about Workouts",2,0.146,0.183,0.425
"Gym Routine Encouraged",34,0.125,0.187,0.503
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.098,0.164,0.55
"Rigidity Rewarded a",48,0.095,0.19,0.619
"Free Audiobook Provided",30,0.09,0.389,0.818
"Values Affirmation Followed by Diagnosis as Gritty",54,0.084,0.163,0.605
"Exercise Advice Solicited, Shared with Others",12,0.081,0.206,0.694
"Fun Workouts Encouraged",32,0.079,0.185,0.67
"Rigidity Rewarded c",50,0.072,0.27,0.791
"Planning, Reminders & Micro-Incentives to Exercise",44,0.06,0.204,0.768
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.057,0.235,0.809
"Exercise Advice Solicited",11,0.049,0.186,0.791
"Exercise Commitment Contract Encouraged",13,0.049,0.18,0.784
"Planning Fallacy Described and Planning Revision Encouraged",40,0.044,0.223,0.845
"Effective Workouts Encouraged",10,0.029,0.17,0.866
"Exercise Encouraged",16,0.021,0.179,0.905
"Gain-Framed Micro-Incentives",33,0.015,0.252,0.952
"Fitness Questionnaire",25,0.007,0.161,0.963
"Fitness Questionnaire with Decision Support",27,0.003,0.221,0.99
"Placebo Control",1,0,0,0
"Bonus for Returning after Missed Workouts b",5,-0.009,0.177,0.96
"Rewarded for Responding to Questions about Workouts",47,-0.026,0.18,0.884
"Exercise Encouraged with E-Signed Pledge",17,-0.028,0.192,0.886
"Defaulted into 1 Weekly Workout",8,-0.03,0.154,0.847
"Loss-Framed Micro-Incentives",37,-0.047,0.176,0.791
"Planning Workouts Encouraged",42,-0.057,0.253,0.822
"Reflecting on Workouts Rewarded",46,-0.066,0.169,0.695
"Bonus for Variable Exercise Schedule",6,-0.074,0.233,0.749
"Exercise Commitment Contract Explained",14,-0.09,0.187,0.631
"Planning Benefits Explained",39,-0.105,0.231,0.649
"Planning Workouts Rewarded",43,-0.107,0.225,0.634
"Rigidity Rewarded e",52,-0.127,0.156,0.416
"Bonus for Consistent Exercise Schedule",3,-0.196,0.194,0.311
"Exercise Social Norms Shared (High)",22,-0.198,0.186,0.287
"Exercise Social Norms Shared (Low but Increasing)",23,-0.212,0.207,0.305
"Rigidity Rewarded b",49,-0.269,0.164,0.1
