"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts b",5,1.141,0.458,0.013
"Rigidity Rewarded a",48,0.724,0.233,0.002
"Asked Questions about Workouts",2,0.688,0.312,0.028
"Higher Incentives a",35,0.645,0.212,0.002
"Planning Fallacy Described and Planning Revision Encouraged",40,0.563,0.224,0.012
"Free Audiobook Provided",30,0.528,0.215,0.014
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.475,0.179,0.008
"Exercise Social Norms Shared (High and Increasing)",21,0.457,0.178,0.01
"Exercise Commitment Contract Explained",14,0.451,0.198,0.023
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.378,0.158,0.017
"Rigidity Rewarded c",50,0.345,0.177,0.052
"Gain-Framed Micro-Incentives",33,0.344,0.18,0.056
"Defaulted into 3 Weekly Workouts",9,0.339,0.143,0.017
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.329,0.163,0.044
"Following Workout Plan Encouraged",29,0.328,0.195,0.092
"Gym Routine Encouraged",34,0.31,0.169,0.067
"Fitness Questionnaire",25,0.291,0.166,0.079
"Rigidity Rewarded b",49,0.284,0.161,0.077
"Values Affirmation",53,0.264,0.156,0.09
"Effective Workouts Encouraged",10,0.257,0.157,0.102
"Reflecting on Workouts Encouraged",45,0.248,0.14,0.077
"Reflecting on Workouts Rewarded",46,0.24,0.151,0.111
"Bonus for Variable Exercise Schedule",6,0.22,0.168,0.188
"Exercise Fun Facts Shared",20,0.218,0.19,0.251
"Exercise Encouraged",16,0.181,0.186,0.329
"Exercise Commitment Contract Explained Post-Intervention",15,0.158,0.177,0.37
"Rigidity Rewarded e",52,0.121,0.163,0.459
"Exercise Social Norms Shared (Low)",24,0.116,0.172,0.499
"Defaulted into 1 Weekly Workout",8,0.106,0.158,0.503
"Planning Benefits Explained",39,0.105,0.167,0.529
"Exercise Encouraged with Signed Pledge",18,0.091,0.172,0.598
"Planning, Reminders & Micro-Incentives to Exercise",44,0.089,0.174,0.61
"Higher Incentives b",36,0.088,0.232,0.704
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.071,0.133,0.592
"Values Affirmation Followed by Diagnosis as Gritty",54,0.065,0.184,0.722
"Planning Workouts Encouraged",42,0.033,0.22,0.882
"Exercise Advice Solicited",11,0.024,0.183,0.893
"Planning Revision Encouraged",41,0.003,0.184,0.987
"Free Audiobook Provided, Temptation Bundling Explained",31,0.002,0.227,0.993
"Placebo Control",1,0,0,0
"Bonus for Returning after Missed Workouts a",4,-0.004,0.159,0.98
"Exercise Commitment Contract Encouraged",13,-0.007,0.18,0.967
"Rewarded for Responding to Questions about Workouts",47,-0.01,0.211,0.964
"Fun Workouts Encouraged",32,-0.015,0.187,0.935
"Loss-Framed Micro-Incentives",37,-0.042,0.18,0.815
"Planning Workouts Rewarded",43,-0.066,0.266,0.805
"Exercise Social Norms Shared (Low but Increasing)",23,-0.071,0.213,0.74
"Exercise Encouraged with Typed Pledge",19,-0.108,0.271,0.69
"Exercise Encouraged with E-Signed Pledge",17,-0.112,0.212,0.598
"Exercise Advice Solicited, Shared with Others",12,-0.135,0.16,0.399
"Bonus for Consistent Exercise Schedule",3,-0.141,0.215,0.512
"Rigidity Rewarded d",51,-0.159,0.203,0.433
"Exercise Social Norms Shared (High)",22,-0.302,0.277,0.276
"Fitness Questionnaire with Decision Support",27,-0.356,0.193,0.066
