"factor","treatment_number","coef","sd","pval"
"Higher Incentives a",35,0.411,0.173,0.017
"Free Audiobook Provided, Temptation Bundling Explained",31,0.283,0.226,0.211
"Exercise Social Norms Shared (High and Increasing)",21,0.246,0.202,0.223
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.222,0.192,0.247
"Values Affirmation Followed by Diagnosis as Gritty",54,0.146,0.167,0.381
"Bonus for Returning after Missed Workouts a",4,0.122,0.208,0.558
"Gain-Framed Micro-Incentives",33,0.106,0.161,0.511
"Planning Workouts Encouraged",42,0.096,0.217,0.66
"Fitness Questionnaire with Decision Support",27,0.067,0.173,0.698
"Gym Routine Encouraged",34,0.059,0.166,0.725
"Exercise Social Norms Shared (Low)",24,0.058,0.177,0.745
"Fun Workouts Encouraged",32,0.056,0.138,0.685
"Rigidity Rewarded e",52,0.05,0.179,0.782
"Planning Revision Encouraged",41,0.041,0.191,0.831
"Rigidity Rewarded a",48,0.032,0.221,0.886
"Bonus for Returning after Missed Workouts b",5,0.026,0.195,0.895
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.026,0.179,0.886
"Fitness Questionnaire",25,0.024,0.185,0.895
"Reflecting on Workouts Encouraged",45,0.014,0.194,0.943
"Rewarded for Responding to Questions about Workouts",47,0.007,0.148,0.963
"Defaulted into 3 Weekly Workouts",9,0.003,0.16,0.983
"Placebo Control",1,0,0,0
"Exercise Social Norms Shared (Low but Increasing)",23,-0.029,0.154,0.849
"Loss-Framed Micro-Incentives",37,-0.03,0.156,0.848
"Exercise Encouraged",16,-0.031,0.223,0.888
"Following Workout Plan Encouraged",29,-0.035,0.155,0.823
"Planning Fallacy Described and Planning Revision Encouraged",40,-0.037,0.213,0.863
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,-0.05,0.153,0.744
"Exercise Encouraged with Signed Pledge",18,-0.053,0.197,0.788
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.068,0.156,0.663
"Planning, Reminders & Micro-Incentives to Exercise",44,-0.084,0.144,0.557
"Exercise Fun Facts Shared",20,-0.086,0.167,0.606
"Defaulted into 1 Weekly Workout",8,-0.088,0.158,0.576
"Exercise Encouraged with Typed Pledge",19,-0.105,0.167,0.53
"Rigidity Rewarded c",50,-0.117,0.174,0.504
"Higher Incentives b",36,-0.128,0.214,0.55
"Effective Workouts Encouraged",10,-0.136,0.141,0.333
"Reflecting on Workouts Rewarded",46,-0.144,0.16,0.366
"Exercise Commitment Contract Explained Post-Intervention",15,-0.16,0.26,0.539
"Exercise Commitment Contract Encouraged",13,-0.161,0.192,0.402
"Bonus for Consistent Exercise Schedule",3,-0.169,0.157,0.283
"Planning Benefits Explained",39,-0.177,0.14,0.207
"Exercise Advice Solicited, Shared with Others",12,-0.182,0.162,0.261
"Bonus for Variable Exercise Schedule",6,-0.191,0.192,0.318
"Exercise Commitment Contract Explained",14,-0.224,0.149,0.131
"Exercise Advice Solicited",11,-0.229,0.182,0.209
"Free Audiobook Provided",30,-0.241,0.269,0.37
"Exercise Social Norms Shared (High)",22,-0.242,0.179,0.178
"Values Affirmation",53,-0.25,0.197,0.206
"Exercise Encouraged with E-Signed Pledge",17,-0.333,0.223,0.135
"Planning Workouts Rewarded",43,-0.351,0.242,0.147
"Rigidity Rewarded b",49,-0.462,0.302,0.126
"Rigidity Rewarded d",51,-0.492,0.276,0.075
"Asked Questions about Workouts",2,-0.495,0.235,0.036
