"factor","treatment_number","coef","sd","pval"
"Rigidity Rewarded a",48,0.568,0.263,0.031
"Free Audiobook Provided, Temptation Bundling Explained",31,0.508,0.217,0.019
"Bonus for Returning after Missed Workouts a",4,0.481,0.227,0.034
"Free Audiobook Provided",30,0.471,0.262,0.072
"Bonus for Returning after Missed Workouts b",5,0.458,0.214,0.032
"Planning Benefits Explained",39,0.431,0.194,0.026
"Exercise Social Norms Shared (High and Increasing)",21,0.429,0.157,0.006
"Planning, Reminders & Micro-Incentives to Exercise",44,0.414,0.205,0.044
"Exercise Encouraged with Signed Pledge",18,0.399,0.16,0.013
"Exercise Advice Solicited",11,0.368,0.201,0.068
"Fitness Questionnaire",25,0.365,0.205,0.074
"Defaulted into 1 Weekly Workout",8,0.332,0.163,0.041
"Reflecting on Workouts Encouraged",45,0.33,0.143,0.021
"Planning Workouts Rewarded",43,0.329,0.173,0.058
"Following Workout Plan Encouraged",29,0.312,0.215,0.146
"Defaulted into 3 Weekly Workouts",9,0.262,0.156,0.093
"Rewarded for Responding to Questions about Workouts",47,0.262,0.208,0.208
"Gain-Framed Micro-Incentives",33,0.258,0.168,0.124
"Higher Incentives b",36,0.255,0.179,0.155
"Planning Fallacy Described and Planning Revision Encouraged",40,0.255,0.179,0.155
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.241,0.224,0.281
"Gym Routine Encouraged",34,0.241,0.216,0.265
"Asked Questions about Workouts",2,0.234,0.267,0.381
"Bonus for Consistent Exercise Schedule",3,0.233,0.17,0.17
"Exercise Encouraged",16,0.215,0.207,0.298
"Exercise Commitment Contract Encouraged",13,0.207,0.152,0.173
"Exercise Commitment Contract Explained",14,0.205,0.195,0.293
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.205,0.174,0.237
"Values Affirmation",53,0.185,0.186,0.319
"Planning Revision Encouraged",41,0.184,0.203,0.363
"Exercise Encouraged with E-Signed Pledge",17,0.172,0.209,0.409
"Rigidity Rewarded d",51,0.164,0.21,0.435
"Bonus for Variable Exercise Schedule",6,0.153,0.189,0.419
"Exercise Encouraged with Typed Pledge",19,0.152,0.163,0.351
"Exercise Advice Solicited, Shared with Others",12,0.144,0.198,0.465
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.118,0.146,0.417
"Rigidity Rewarded e",52,0.109,0.175,0.534
"Planning Workouts Encouraged",42,0.105,0.167,0.528
"Values Affirmation Followed by Diagnosis as Gritty",54,0.093,0.236,0.694
"Fitness Questionnaire with Decision Support",27,0.081,0.194,0.675
"Exercise Social Norms Shared (Low)",24,0.046,0.198,0.816
"Rigidity Rewarded c",50,0.041,0.144,0.777
"Reflecting on Workouts Rewarded",46,0.037,0.172,0.83
"Exercise Fun Facts Shared",20,0.035,0.154,0.82
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.026,0.165,0.874
"Effective Workouts Encouraged",10,0.02,0.154,0.895
"Placebo Control",1,0,0,0
"Fun Workouts Encouraged",32,-0.026,0.176,0.885
"Exercise Commitment Contract Explained Post-Intervention",15,-0.037,0.178,0.836
"Loss-Framed Micro-Incentives",37,-0.051,0.202,0.802
"Exercise Social Norms Shared (Low but Increasing)",23,-0.064,0.209,0.758
"Higher Incentives a",35,-0.121,0.371,0.746
"Rigidity Rewarded b",49,-0.158,0.184,0.388
"Exercise Social Norms Shared (High)",22,-0.319,0.218,0.144
