"factor","treatment_number","coef","sd","pval"
"Free Audiobook Provided",30,0.744,0.328,0.023
"Bonus for Returning after Missed Workouts a",4,0.709,0.233,0.002
"Higher Incentives a",35,0.557,0.25,0.026
"Planning Fallacy Described and Planning Revision Encouraged",40,0.476,0.197,0.016
"Higher Incentives b",36,0.459,0.307,0.135
"Fitness Questionnaire",25,0.408,0.186,0.028
"Free Audiobook Provided, Temptation Bundling Explained",31,0.408,0.26,0.117
"Exercise Encouraged with Typed Pledge",19,0.406,0.194,0.036
"Defaulted into 3 Weekly Workouts",9,0.404,0.162,0.013
"Exercise Commitment Contract Explained",14,0.404,0.223,0.07
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.365,0.155,0.019
"Values Affirmation",53,0.348,0.161,0.031
"Bonus for Returning after Missed Workouts b",5,0.347,0.249,0.163
"Exercise Social Norms Shared (High and Increasing)",21,0.334,0.221,0.129
"Following Workout Plan Encouraged",29,0.32,0.201,0.112
"Exercise Fun Facts Shared",20,0.311,0.152,0.041
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.307,0.172,0.075
"Rigidity Rewarded e",52,0.303,0.199,0.129
"Planning Revision Encouraged",41,0.301,0.187,0.107
"Rigidity Rewarded a",48,0.288,0.193,0.136
"Fun Workouts Encouraged",32,0.284,0.17,0.095
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.271,0.175,0.122
"Planning, Reminders & Micro-Incentives to Exercise",44,0.26,0.209,0.214
"Rigidity Rewarded c",50,0.251,0.174,0.151
"Exercise Encouraged with Signed Pledge",18,0.24,0.211,0.255
"Planning Benefits Explained",39,0.212,0.17,0.214
"Rigidity Rewarded b",49,0.192,0.263,0.466
"Gym Routine Encouraged",34,0.187,0.172,0.277
"Exercise Advice Solicited",11,0.186,0.181,0.305
"Exercise Advice Solicited, Shared with Others",12,0.185,0.22,0.4
"Exercise Social Norms Shared (Low)",24,0.185,0.167,0.268
"Loss-Framed Micro-Incentives",37,0.183,0.15,0.221
"Values Affirmation Followed by Diagnosis as Gritty",54,0.18,0.155,0.248
"Planning Workouts Encouraged",42,0.178,0.187,0.343
"Exercise Encouraged with E-Signed Pledge",17,0.165,0.205,0.421
"Bonus for Variable Exercise Schedule",6,0.153,0.223,0.492
"Exercise Encouraged",16,0.144,0.223,0.519
"Fitness Questionnaire with Decision Support",27,0.142,0.195,0.466
"Effective Workouts Encouraged",10,0.136,0.195,0.486
"Gain-Framed Micro-Incentives",33,0.126,0.194,0.516
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.105,0.163,0.516
"Rewarded for Responding to Questions about Workouts",47,0.1,0.197,0.611
"Reflecting on Workouts Encouraged",45,0.097,0.185,0.602
"Rigidity Rewarded d",51,0.079,0.196,0.685
"Planning Workouts Rewarded",43,0.063,0.226,0.782
"Reflecting on Workouts Rewarded",46,0.051,0.149,0.732
"Exercise Commitment Contract Encouraged",13,0.027,0.174,0.879
"Defaulted into 1 Weekly Workout",8,0.014,0.165,0.933
"Placebo Control",1,0,0,0
"Exercise Commitment Contract Explained Post-Intervention",15,-0.018,0.202,0.929
"Exercise Social Norms Shared (Low but Increasing)",23,-0.033,0.164,0.839
"Asked Questions about Workouts",2,-0.076,0.193,0.693
"Bonus for Consistent Exercise Schedule",3,-0.109,0.179,0.544
"Exercise Social Norms Shared (High)",22,-0.253,0.192,0.189
