"factor","treatment_number","coef","sd","pval"
"Free Audiobook Provided",30,1.011,0.258,0
"Free Audiobook Provided, Temptation Bundling Explained",31,0.733,0.235,0.002
"Exercise Social Norms Shared (High and Increasing)",21,0.676,0.234,0.004
"Bonus for Returning after Missed Workouts a",4,0.653,0.32,0.041
"Higher Incentives a",35,0.602,0.212,0.005
"Following Workout Plan Encouraged",29,0.577,0.238,0.015
"Rigidity Rewarded c",50,0.56,0.232,0.016
"Gain-Framed Micro-Incentives",33,0.524,0.232,0.024
"Planning Revision Encouraged",41,0.476,0.261,0.069
"Planning, Reminders & Micro-Incentives to Exercise",44,0.474,0.191,0.013
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.438,0.192,0.022
"Planning Workouts Encouraged",42,0.431,0.222,0.053
"Exercise Social Norms Shared (Low)",24,0.413,0.206,0.045
"Planning Workouts Rewarded",43,0.412,0.21,0.05
"Exercise Encouraged",16,0.408,0.252,0.105
"Effective Workouts Encouraged",10,0.406,0.199,0.042
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.398,0.222,0.072
"Planning Fallacy Described and Planning Revision Encouraged",40,0.368,0.219,0.092
"Loss-Framed Micro-Incentives",37,0.358,0.206,0.082
"Exercise Encouraged with Typed Pledge",19,0.333,0.295,0.259
"Rigidity Rewarded a",48,0.326,0.287,0.255
"Fitness Questionnaire",25,0.321,0.182,0.078
"Exercise Social Norms Shared (Low but Increasing)",23,0.318,0.214,0.137
"Bonus for Variable Exercise Schedule",6,0.303,0.296,0.306
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.302,0.183,0.099
"Reflecting on Workouts Rewarded",46,0.299,0.18,0.096
"Defaulted into 3 Weekly Workouts",9,0.288,0.189,0.129
"Rigidity Rewarded e",52,0.28,0.211,0.185
"Exercise Advice Solicited",11,0.279,0.176,0.112
"Values Affirmation Followed by Diagnosis as Gritty",54,0.273,0.181,0.132
"Exercise Fun Facts Shared",20,0.272,0.203,0.179
"Exercise Social Norms Shared (High)",22,0.27,0.206,0.191
"Exercise Encouraged with Signed Pledge",18,0.267,0.21,0.203
"Values Affirmation",53,0.239,0.178,0.18
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.235,0.235,0.318
"Rewarded for Responding to Questions about Workouts",47,0.221,0.213,0.301
"Asked Questions about Workouts",2,0.211,0.279,0.451
"Bonus for Returning after Missed Workouts b",5,0.205,0.238,0.39
"Exercise Advice Solicited, Shared with Others",12,0.201,0.229,0.381
"Exercise Encouraged with E-Signed Pledge",17,0.177,0.226,0.432
"Exercise Commitment Contract Explained Post-Intervention",15,0.151,0.204,0.458
"Fitness Questionnaire with Decision Support",27,0.151,0.2,0.448
"Higher Incentives b",36,0.151,0.22,0.491
"Exercise Commitment Contract Explained",14,0.133,0.211,0.53
"Defaulted into 1 Weekly Workout",8,0.109,0.183,0.551
"Rigidity Rewarded d",51,0.102,0.237,0.665
"Reflecting on Workouts Encouraged",45,0.094,0.213,0.66
"Fun Workouts Encouraged",32,0.089,0.19,0.64
"Bonus for Consistent Exercise Schedule",3,0.07,0.231,0.762
"Rigidity Rewarded b",49,0.063,0.229,0.783
"Gym Routine Encouraged",34,0.041,0.206,0.84
"Exercise Commitment Contract Encouraged",13,0.013,0.223,0.954
"Placebo Control",1,0,0,0
"Planning Benefits Explained",39,-0.122,0.245,0.62
