"factor","treatment_number","coef","sd","pval"
"Asked Questions about Workouts",2,0.524,0.234,0.025
"Higher Incentives a",35,0.444,0.229,0.053
"Bonus for Returning after Missed Workouts b",5,0.303,0.53,0.567
"Exercise Encouraged with Typed Pledge",19,0.292,0.288,0.31
"Free Audiobook Provided, Temptation Bundling Explained",31,0.292,0.283,0.303
"Exercise Social Norms Shared (Low)",24,0.223,0.172,0.194
"Bonus for Returning after Missed Workouts a",4,0.219,0.27,0.418
"Rigidity Rewarded a",48,0.212,0.367,0.564
"Planning, Reminders & Micro-Incentives to Exercise",44,0.202,0.2,0.312
"Exercise Social Norms Shared (High and Increasing)",21,0.198,0.202,0.329
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.19,0.198,0.337
"Values Affirmation",53,0.19,0.259,0.462
"Reflecting on Workouts Rewarded",46,0.179,0.165,0.278
"Fitness Questionnaire",25,0.174,0.215,0.418
"Exercise Commitment Contract Explained",14,0.157,0.19,0.407
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.117,0.22,0.594
"Reflecting on Workouts Encouraged",45,0.102,0.161,0.526
"Fun Workouts Encouraged",32,0.086,0.206,0.678
"Exercise Advice Solicited",11,0.083,0.183,0.65
"Defaulted into 3 Weekly Workouts",9,0.076,0.162,0.639
"Planning Benefits Explained",39,0.064,0.241,0.791
"Gain-Framed Micro-Incentives",33,0.045,0.184,0.807
"Exercise Encouraged",16,0.043,0.224,0.85
"Rigidity Rewarded c",50,0.04,0.251,0.872
"Exercise Fun Facts Shared",20,0.039,0.16,0.805
"Planning Fallacy Described and Planning Revision Encouraged",40,0.028,0.22,0.898
"Rewarded for Responding to Questions about Workouts",47,0.013,0.188,0.945
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.009,0.197,0.965
"Rigidity Rewarded e",52,0.004,0.189,0.984
"Placebo Control",1,0,0,0
"Fitness Questionnaire with Decision Support",27,-0.005,0.201,0.982
"Exercise Social Norms Shared (High)",22,-0.007,0.19,0.971
"Defaulted into 1 Weekly Workout",8,-0.015,0.172,0.929
"Exercise Encouraged with E-Signed Pledge",17,-0.034,0.21,0.871
"Values Affirmation Followed by Diagnosis as Gritty",54,-0.039,0.175,0.824
"Bonus for Consistent Exercise Schedule",3,-0.041,0.191,0.83
"Following Workout Plan Encouraged",29,-0.047,0.209,0.822
"Exercise Encouraged with Signed Pledge",18,-0.049,0.181,0.786
"Planning Workouts Rewarded",43,-0.057,0.183,0.757
"Planning Workouts Encouraged",42,-0.08,0.256,0.754
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,-0.092,0.175,0.6
"Effective Workouts Encouraged",10,-0.094,0.182,0.606
"Bonus for Variable Exercise Schedule",6,-0.106,0.158,0.501
"Higher Incentives b",36,-0.107,0.31,0.729
"Exercise Commitment Contract Explained Post-Intervention",15,-0.116,0.188,0.536
"Exercise Advice Solicited, Shared with Others",12,-0.128,0.214,0.551
"Loss-Framed Micro-Incentives",37,-0.171,0.21,0.414
"Free Audiobook Provided",30,-0.204,0.228,0.37
"Gym Routine Encouraged",34,-0.213,0.224,0.343
"Rigidity Rewarded d",51,-0.229,0.227,0.312
"Planning Revision Encouraged",41,-0.241,0.193,0.211
"Exercise Social Norms Shared (Low but Increasing)",23,-0.247,0.217,0.255
"Exercise Commitment Contract Encouraged",13,-0.297,0.216,0.169
"Rigidity Rewarded b",49,-0.351,0.401,0.382
