"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts a",4,0.88,0.242,0
"Free Audiobook Provided, Temptation Bundling Explained",31,0.739,0.235,0.002
"Bonus for Returning after Missed Workouts b",5,0.721,0.398,0.07
"Free Audiobook Provided",30,0.664,0.254,0.009
"Planning Workouts Encouraged",42,0.518,0.241,0.031
"Values Affirmation",53,0.507,0.193,0.009
"Fun Workouts Encouraged",32,0.495,0.172,0.004
"Higher Incentives a",35,0.491,0.368,0.182
"Following Workout Plan Encouraged",29,0.482,0.211,0.022
"Exercise Encouraged with E-Signed Pledge",17,0.471,0.197,0.017
"Exercise Social Norms Shared (High and Increasing)",21,0.449,0.171,0.009
"Reflecting on Workouts Rewarded",46,0.441,0.171,0.01
"Higher Incentives b",36,0.426,0.203,0.036
"Rigidity Rewarded d",51,0.397,0.311,0.201
"Planning Revision Encouraged",41,0.396,0.222,0.074
"Planning, Reminders & Micro-Incentives to Exercise",44,0.393,0.19,0.038
"Exercise Commitment Contract Explained",14,0.39,0.174,0.025
"Reflecting on Workouts Encouraged",45,0.381,0.142,0.007
"Exercise Social Norms Shared (High)",22,0.371,0.208,0.075
"Gain-Framed Micro-Incentives",33,0.368,0.171,0.031
"Bonus for Variable Exercise Schedule",6,0.36,0.187,0.055
"Exercise Encouraged",16,0.36,0.254,0.157
"Fitness Questionnaire",25,0.357,0.164,0.03
"Planning Benefits Explained",39,0.341,0.196,0.083
"Planning Fallacy Described and Planning Revision Encouraged",40,0.339,0.347,0.329
"Bonus for Consistent Exercise Schedule",3,0.323,0.267,0.227
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.317,0.161,0.048
"Exercise Encouraged with Signed Pledge",18,0.302,0.15,0.044
"Exercise Advice Solicited, Shared with Others",12,0.298,0.181,0.101
"Gym Routine Encouraged",34,0.295,0.249,0.235
"Exercise Encouraged with Typed Pledge",19,0.277,0.289,0.338
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.274,0.18,0.128
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.262,0.19,0.169
"Exercise Social Norms Shared (Low)",24,0.256,0.188,0.174
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.253,0.149,0.089
"Rigidity Rewarded a",48,0.244,0.16,0.127
"Defaulted into 3 Weekly Workouts",9,0.242,0.161,0.132
"Effective Workouts Encouraged",10,0.238,0.152,0.117
"Exercise Commitment Contract Explained Post-Intervention",15,0.238,0.176,0.177
"Loss-Framed Micro-Incentives",37,0.224,0.187,0.23
"Exercise Advice Solicited",11,0.207,0.174,0.236
"Defaulted into 1 Weekly Workout",8,0.191,0.171,0.264
"Exercise Commitment Contract Encouraged",13,0.182,0.216,0.4
"Fitness Questionnaire with Decision Support",27,0.141,0.199,0.48
"Exercise Fun Facts Shared",20,0.136,0.201,0.5
"Rigidity Rewarded e",52,0.133,0.155,0.388
"Values Affirmation Followed by Diagnosis as Gritty",54,0.118,0.19,0.535
"Planning Workouts Rewarded",43,0.114,0.28,0.685
"Asked Questions about Workouts",2,0.097,0.184,0.597
"Exercise Social Norms Shared (Low but Increasing)",23,0.043,0.182,0.813
"Rigidity Rewarded b",49,0.037,0.232,0.874
"Placebo Control",1,0,0,0
"Rewarded for Responding to Questions about Workouts",47,-0.14,0.364,0.7
"Rigidity Rewarded c",50,-0.147,0.252,0.561
