"factor","treatment_number","coef","sd","pval"
"Asked Questions about Workouts",2,0.654,0.33,0.048
"Bonus for Returning after Missed Workouts a",4,0.593,0.213,0.005
"Exercise Commitment Contract Explained",14,0.572,0.203,0.005
"Higher Incentives a",35,0.568,0.22,0.01
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.54,0.18,0.003
"Values Affirmation",53,0.501,0.197,0.011
"Bonus for Returning after Missed Workouts b",5,0.481,0.298,0.107
"Exercise Encouraged with Typed Pledge",19,0.452,0.224,0.044
"Exercise Fun Facts Shared",20,0.417,0.183,0.022
"Exercise Social Norms Shared (High and Increasing)",21,0.409,0.161,0.011
"Exercise Social Norms Shared (Low)",24,0.399,0.187,0.033
"Exercise Encouraged with Signed Pledge",18,0.376,0.156,0.016
"Defaulted into 3 Weekly Workouts",9,0.362,0.154,0.019
"Higher Incentives b",36,0.361,0.143,0.012
"Gain-Framed Micro-Incentives",33,0.356,0.195,0.067
"Rigidity Rewarded a",48,0.334,0.218,0.124
"Planning Workouts Rewarded",43,0.333,0.186,0.073
"Loss-Framed Micro-Incentives",37,0.331,0.143,0.02
"Free Audiobook Provided",30,0.321,0.374,0.391
"Rigidity Rewarded c",50,0.318,0.27,0.24
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.302,0.173,0.081
"Rigidity Rewarded b",49,0.302,0.187,0.107
"Planning Fallacy Described and Planning Revision Encouraged",40,0.282,0.214,0.188
"Planning Benefits Explained",39,0.281,0.165,0.089
"Exercise Encouraged",16,0.272,0.197,0.166
"Reflecting on Workouts Rewarded",46,0.258,0.153,0.091
"Planning, Reminders & Micro-Incentives to Exercise",44,0.244,0.211,0.248
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.238,0.142,0.093
"Defaulted into 1 Weekly Workout",8,0.187,0.17,0.269
"Bonus for Consistent Exercise Schedule",3,0.186,0.237,0.432
"Exercise Advice Solicited",11,0.184,0.192,0.337
"Fun Workouts Encouraged",32,0.166,0.158,0.292
"Exercise Commitment Contract Encouraged",13,0.145,0.168,0.389
"Exercise Commitment Contract Explained Post-Intervention",15,0.139,0.167,0.405
"Effective Workouts Encouraged",10,0.138,0.178,0.436
"Following Workout Plan Encouraged",29,0.136,0.166,0.413
"Planning Revision Encouraged",41,0.13,0.193,0.501
"Reflecting on Workouts Encouraged",45,0.12,0.126,0.338
"Exercise Social Norms Shared (Low but Increasing)",23,0.117,0.163,0.471
"Rigidity Rewarded e",52,0.117,0.147,0.425
"Fitness Questionnaire",25,0.076,0.201,0.704
"Rewarded for Responding to Questions about Workouts",47,0.075,0.17,0.659
"Exercise Encouraged with E-Signed Pledge",17,0.064,0.206,0.757
"Rigidity Rewarded d",51,0.064,0.229,0.781
"Exercise Advice Solicited, Shared with Others",12,0.058,0.196,0.768
"Free Audiobook Provided, Temptation Bundling Explained",31,0.054,0.243,0.823
"Bonus for Variable Exercise Schedule",6,0.042,0.257,0.871
"Values Affirmation Followed by Diagnosis as Gritty",54,0.04,0.206,0.846
"Planning Workouts Encouraged",42,0.006,0.159,0.971
"Placebo Control",1,0,0,0
"Gym Routine Encouraged",34,-0.015,0.141,0.917
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.029,0.181,0.875
"Fitness Questionnaire with Decision Support",27,-0.096,0.141,0.497
"Exercise Social Norms Shared (High)",22,-0.277,0.223,0.213
