"factor","treatment_number","coef","sd","pval"
"Free Audiobook Provided",30,0.809,0.271,0.003
"Free Audiobook Provided, Temptation Bundling Explained",31,0.619,0.271,0.022
"Values Affirmation",53,0.565,0.217,0.009
"Following Workout Plan Encouraged",29,0.512,0.231,0.027
"Fun Workouts Encouraged",32,0.479,0.194,0.013
"Rigidity Rewarded a",48,0.457,0.193,0.018
"Defaulted into 3 Weekly Workouts",9,0.448,0.187,0.017
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.421,0.206,0.041
"Exercise Social Norms Shared (Low)",24,0.4,0.207,0.053
"Exercise Social Norms Shared (High and Increasing)",21,0.398,0.193,0.039
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.394,0.201,0.05
"Bonus for Returning after Missed Workouts b",5,0.381,0.214,0.075
"Fitness Questionnaire",25,0.373,0.226,0.098
"Planning Workouts Rewarded",43,0.347,0.221,0.117
"Higher Incentives a",35,0.325,0.203,0.109
"Rewarded for Responding to Questions about Workouts",47,0.311,0.192,0.105
"Higher Incentives b",36,0.243,0.237,0.303
"Gym Routine Encouraged",34,0.228,0.199,0.253
"Effective Workouts Encouraged",10,0.227,0.183,0.214
"Exercise Encouraged",16,0.227,0.22,0.303
"Bonus for Returning after Missed Workouts a",4,0.222,0.218,0.308
"Rigidity Rewarded e",52,0.209,0.184,0.255
"Exercise Commitment Contract Explained Post-Intervention",15,0.198,0.224,0.377
"Exercise Encouraged with Signed Pledge",18,0.178,0.228,0.434
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.175,0.2,0.381
"Exercise Commitment Contract Explained",14,0.173,0.267,0.517
"Defaulted into 1 Weekly Workout",8,0.162,0.198,0.412
"Exercise Fun Facts Shared",20,0.158,0.219,0.471
"Exercise Social Norms Shared (Low but Increasing)",23,0.158,0.173,0.362
"Values Affirmation Followed by Diagnosis as Gritty",54,0.135,0.195,0.489
"Exercise Advice Solicited, Shared with Others",12,0.129,0.214,0.547
"Loss-Framed Micro-Incentives",37,0.126,0.188,0.501
"Reflecting on Workouts Rewarded",46,0.118,0.193,0.542
"Exercise Commitment Contract Encouraged",13,0.115,0.224,0.608
"Gain-Framed Micro-Incentives",33,0.114,0.276,0.68
"Planning Fallacy Described and Planning Revision Encouraged",40,0.113,0.243,0.642
"Bonus for Consistent Exercise Schedule",3,0.109,0.21,0.604
"Rigidity Rewarded d",51,0.095,0.227,0.677
"Exercise Advice Solicited",11,0.092,0.193,0.634
"Rigidity Rewarded c",50,0.055,0.237,0.817
"Exercise Encouraged with Typed Pledge",19,0.035,0.189,0.854
"Asked Questions about Workouts",2,0.027,0.242,0.909
"Exercise Social Norms Shared (High)",22,0.022,0.197,0.912
"Planning Workouts Encouraged",42,0.013,0.203,0.95
"Placebo Control",1,0,0,0
"Exercise Encouraged with E-Signed Pledge",17,-0,0.199,0.999
"Planning Benefits Explained",39,-0.012,0.199,0.951
"Reflecting on Workouts Encouraged",45,-0.056,0.21,0.79
"Rigidity Rewarded b",49,-0.064,0.239,0.787
"Planning, Reminders & Micro-Incentives to Exercise",44,-0.066,0.183,0.72
"Planning Revision Encouraged",41,-0.097,0.206,0.637
"Fitness Questionnaire with Decision Support",27,-0.116,0.22,0.597
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.141,0.2,0.479
"Bonus for Variable Exercise Schedule",6,-0.173,0.28,0.536
