"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts a",4,0.557,0.23,0.015
"Free Audiobook Provided",30,0.529,0.288,0.066
"Planning Fallacy Described and Planning Revision Encouraged",40,0.484,0.327,0.14
"Higher Incentives a",35,0.402,0.217,0.064
"Exercise Commitment Contract Explained",14,0.351,0.231,0.129
"Free Audiobook Provided, Temptation Bundling Explained",31,0.351,0.275,0.203
"Planning Workouts Rewarded",43,0.336,0.264,0.202
"Exercise Advice Solicited",11,0.333,0.184,0.071
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.302,0.175,0.084
"Asked Questions about Workouts",2,0.284,0.257,0.269
"Loss-Framed Micro-Incentives",37,0.235,0.215,0.274
"Planning Revision Encouraged",41,0.227,0.206,0.272
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.225,0.168,0.181
"Following Workout Plan Encouraged",29,0.205,0.177,0.248
"Fitness Questionnaire",25,0.196,0.196,0.317
"Rigidity Rewarded b",49,0.195,0.25,0.435
"Exercise Encouraged with Typed Pledge",19,0.192,0.192,0.316
"Gain-Framed Micro-Incentives",33,0.177,0.199,0.373
"Planning, Reminders & Micro-Incentives to Exercise",44,0.177,0.21,0.401
"Bonus for Variable Exercise Schedule",6,0.175,0.225,0.436
"Rigidity Rewarded e",52,0.166,0.155,0.285
"Exercise Social Norms Shared (High and Increasing)",21,0.159,0.185,0.389
"Values Affirmation",53,0.159,0.22,0.469
"Fun Workouts Encouraged",32,0.156,0.198,0.431
"Planning Benefits Explained",39,0.155,0.214,0.469
"Values Affirmation Followed by Diagnosis as Gritty",54,0.146,0.205,0.477
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.143,0.162,0.377
"Higher Incentives b",36,0.141,0.188,0.452
"Reflecting on Workouts Rewarded",46,0.139,0.18,0.441
"Fitness Questionnaire with Decision Support",27,0.093,0.201,0.643
"Bonus for Returning after Missed Workouts b",5,0.081,0.185,0.662
"Defaulted into 3 Weekly Workouts",9,0.077,0.183,0.675
"Exercise Encouraged with Signed Pledge",18,0.074,0.178,0.679
"Effective Workouts Encouraged",10,0.066,0.168,0.696
"Rigidity Rewarded a",48,0.066,0.265,0.803
"Exercise Fun Facts Shared",20,0.045,0.209,0.83
"Reflecting on Workouts Encouraged",45,0.043,0.196,0.826
"Rigidity Rewarded d",51,0.041,0.248,0.867
"Bonus for Consistent Exercise Schedule",3,0.037,0.174,0.833
"Exercise Commitment Contract Encouraged",13,0.019,0.197,0.922
"Exercise Encouraged",16,0.006,0.229,0.978
"Defaulted into 1 Weekly Workout",8,0.003,0.19,0.988
"Exercise Social Norms Shared (Low)",24,0.003,0.21,0.989
"Placebo Control",1,0,0,0
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.009,0.18,0.959
"Gym Routine Encouraged",34,-0.015,0.215,0.944
"Exercise Advice Solicited, Shared with Others",12,-0.025,0.189,0.893
"Exercise Social Norms Shared (Low but Increasing)",23,-0.046,0.234,0.842
"Exercise Encouraged with E-Signed Pledge",17,-0.049,0.241,0.839
"Rewarded for Responding to Questions about Workouts",47,-0.054,0.21,0.797
"Rigidity Rewarded c",50,-0.096,0.264,0.716
"Exercise Social Norms Shared (High)",22,-0.17,0.176,0.334
"Exercise Commitment Contract Explained Post-Intervention",15,-0.177,0.198,0.373
"Planning Workouts Encouraged",42,-0.188,0.201,0.351
