"factor","treatment_number","coef","sd","pval"
"Exercise Encouraged with Typed Pledge",19,0.437,0.235,0.063
"Exercise Advice Solicited",11,0.274,0.21,0.193
"Rigidity Rewarded d",51,0.274,0.349,0.433
"Bonus for Variable Exercise Schedule",6,0.27,0.173,0.118
"Exercise Encouraged with Signed Pledge",18,0.249,0.184,0.176
"Higher Incentives b",36,0.217,0.183,0.238
"Planning Fallacy Described and Planning Revision Encouraged",40,0.209,0.172,0.224
"Rigidity Rewarded a",48,0.207,0.231,0.369
"Free Audiobook Provided",30,0.198,0.28,0.48
"Exercise Commitment Contract Encouraged",13,0.156,0.192,0.416
"Exercise Social Norms Shared (High and Increasing)",21,0.136,0.211,0.52
"Defaulted into 3 Weekly Workouts",9,0.131,0.164,0.424
"Free Audiobook Provided, Temptation Bundling Explained",31,0.131,0.27,0.626
"Bonus for Returning after Missed Workouts b",5,0.13,0.167,0.437
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.117,0.181,0.518
"Fun Workouts Encouraged",32,0.1,0.196,0.611
"Exercise Social Norms Shared (Low)",24,0.084,0.191,0.662
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.07,0.183,0.703
"Fitness Questionnaire",25,0.049,0.177,0.78
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.046,0.18,0.799
"Gain-Framed Micro-Incentives",33,0.046,0.241,0.847
"Following Workout Plan Encouraged",29,0.001,0.236,0.998
"Planning Benefits Explained",39,0.001,0.17,0.995
"Placebo Control",1,0,0,0
"Values Affirmation",53,-0.004,0.208,0.986
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,-0.007,0.148,0.961
"Planning, Reminders & Micro-Incentives to Exercise",44,-0.008,0.166,0.962
"Planning Workouts Encouraged",42,-0.01,0.191,0.957
"Exercise Commitment Contract Explained Post-Intervention",15,-0.03,0.172,0.861
"Reflecting on Workouts Encouraged",45,-0.031,0.146,0.834
"Bonus for Returning after Missed Workouts a",4,-0.041,0.204,0.843
"Exercise Fun Facts Shared",20,-0.094,0.215,0.663
"Loss-Framed Micro-Incentives",37,-0.098,0.169,0.562
"Reflecting on Workouts Rewarded",46,-0.11,0.172,0.522
"Exercise Encouraged with E-Signed Pledge",17,-0.118,0.238,0.62
"Exercise Advice Solicited, Shared with Others",12,-0.123,0.229,0.592
"Higher Incentives a",35,-0.128,0.233,0.581
"Planning Revision Encouraged",41,-0.13,0.251,0.606
"Exercise Encouraged",16,-0.136,0.168,0.418
"Defaulted into 1 Weekly Workout",8,-0.137,0.162,0.399
"Exercise Social Norms Shared (Low but Increasing)",23,-0.141,0.18,0.434
"Bonus for Consistent Exercise Schedule",3,-0.142,0.198,0.474
"Exercise Commitment Contract Explained",14,-0.143,0.192,0.455
"Rigidity Rewarded e",52,-0.143,0.148,0.336
"Gym Routine Encouraged",34,-0.145,0.186,0.435
"Effective Workouts Encouraged",10,-0.244,0.193,0.206
"Values Affirmation Followed by Diagnosis as Gritty",54,-0.265,0.244,0.276
"Asked Questions about Workouts",2,-0.276,0.205,0.177
"Fitness Questionnaire with Decision Support",27,-0.293,0.204,0.151
"Rewarded for Responding to Questions about Workouts",47,-0.4,0.192,0.037
"Planning Workouts Rewarded",43,-0.419,0.332,0.208
"Rigidity Rewarded c",50,-0.448,0.214,0.037
"Rigidity Rewarded b",49,-0.515,0.201,0.01
"Exercise Social Norms Shared (High)",22,-0.523,0.239,0.028
