"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts b",5,0.859,0.522,0.1
"Exercise Encouraged with Typed Pledge",19,0.785,0.191,0
"Higher Incentives a",35,0.608,0.221,0.006
"Following Workout Plan Encouraged",29,0.568,0.155,0
"Bonus for Returning after Missed Workouts a",4,0.563,0.282,0.046
"Exercise Fun Facts Shared",20,0.549,0.22,0.013
"Asked Questions about Workouts",2,0.539,0.371,0.146
"Gym Routine Encouraged",34,0.526,0.173,0.002
"Rigidity Rewarded a",48,0.524,0.199,0.008
"Exercise Encouraged with Signed Pledge",18,0.497,0.185,0.007
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.449,0.167,0.007
"Higher Incentives b",36,0.43,0.247,0.081
"Gain-Framed Micro-Incentives",33,0.421,0.193,0.029
"Exercise Social Norms Shared (High and Increasing)",21,0.419,0.203,0.039
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.361,0.174,0.038
"Exercise Commitment Contract Explained",14,0.358,0.167,0.032
"Exercise Social Norms Shared (Low)",24,0.343,0.134,0.01
"Rigidity Rewarded c",50,0.329,0.213,0.122
"Fitness Questionnaire",25,0.301,0.143,0.035
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.293,0.131,0.025
"Defaulted into 3 Weekly Workouts",9,0.288,0.144,0.045
"Fun Workouts Encouraged",32,0.279,0.16,0.081
"Effective Workouts Encouraged",10,0.261,0.145,0.073
"Values Affirmation",53,0.261,0.19,0.17
"Exercise Commitment Contract Explained Post-Intervention",15,0.246,0.162,0.128
"Exercise Social Norms Shared (Low but Increasing)",23,0.246,0.131,0.06
"Exercise Encouraged",16,0.225,0.186,0.227
"Planning Revision Encouraged",41,0.214,0.156,0.168
"Free Audiobook Provided",30,0.209,0.15,0.163
"Planning Workouts Rewarded",43,0.206,0.267,0.441
"Planning Fallacy Described and Planning Revision Encouraged",40,0.198,0.152,0.192
"Exercise Encouraged with E-Signed Pledge",17,0.195,0.209,0.35
"Reflecting on Workouts Encouraged",45,0.193,0.137,0.16
"Planning Benefits Explained",39,0.192,0.241,0.427
"Rigidity Rewarded e",52,0.184,0.148,0.215
"Planning Workouts Encouraged",42,0.177,0.233,0.448
"Exercise Advice Solicited",11,0.174,0.153,0.257
"Free Audiobook Provided, Temptation Bundling Explained",31,0.173,0.23,0.453
"Reflecting on Workouts Rewarded",46,0.163,0.131,0.212
"Defaulted into 1 Weekly Workout",8,0.107,0.179,0.549
"Values Affirmation Followed by Diagnosis as Gritty",54,0.09,0.248,0.719
"Loss-Framed Micro-Incentives",37,0.081,0.157,0.606
"Bonus for Consistent Exercise Schedule",3,0.071,0.179,0.692
"Rigidity Rewarded d",51,0.055,0.171,0.749
"Bonus for Variable Exercise Schedule",6,0.042,0.206,0.838
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.023,0.126,0.858
"Planning, Reminders & Micro-Incentives to Exercise",44,0.016,0.143,0.91
"Placebo Control",1,0,0,0
"Exercise Commitment Contract Encouraged",13,-0.005,0.138,0.969
"Fitness Questionnaire with Decision Support",27,-0.009,0.156,0.954
"Exercise Social Norms Shared (High)",22,-0.126,0.211,0.55
"Rewarded for Responding to Questions about Workouts",47,-0.129,0.299,0.666
"Exercise Advice Solicited, Shared with Others",12,-0.132,0.145,0.36
"Rigidity Rewarded b",49,-0.269,0.214,0.209
