"factor","treatment_number","coef","sd","pval"
"Rigidity Rewarded a",48,0.769,0.19,0
"Asked Questions about Workouts",2,0.736,0.351,0.036
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.668,0.2,0.001
"Exercise Commitment Contract Explained",14,0.652,0.281,0.021
"Free Audiobook Provided, Temptation Bundling Explained",31,0.614,0.23,0.008
"Bonus for Returning after Missed Workouts b",5,0.563,0.21,0.007
"Rewarded for Responding to Questions about Workouts",47,0.477,0.194,0.014
"Exercise Encouraged with E-Signed Pledge",17,0.449,0.225,0.046
"Planning Workouts Encouraged",42,0.411,0.246,0.094
"Exercise Advice Solicited",11,0.361,0.178,0.042
"Defaulted into 3 Weekly Workouts",9,0.352,0.172,0.04
"Values Affirmation",53,0.345,0.203,0.089
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.337,0.196,0.086
"Exercise Social Norms Shared (High and Increasing)",21,0.315,0.179,0.078
"Gain-Framed Micro-Incentives",33,0.308,0.192,0.109
"Exercise Social Norms Shared (Low but Increasing)",23,0.306,0.185,0.099
"Following Workout Plan Encouraged",29,0.305,0.191,0.111
"Values Affirmation Followed by Diagnosis as Gritty",54,0.27,0.197,0.17
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.263,0.177,0.137
"Effective Workouts Encouraged",10,0.256,0.177,0.148
"Rigidity Rewarded e",52,0.252,0.194,0.195
"Planning Workouts Rewarded",43,0.251,0.193,0.194
"Gym Routine Encouraged",34,0.244,0.237,0.303
"Planning, Reminders & Micro-Incentives to Exercise",44,0.235,0.19,0.216
"Reflecting on Workouts Rewarded",46,0.221,0.163,0.174
"Exercise Fun Facts Shared",20,0.207,0.226,0.359
"Bonus for Consistent Exercise Schedule",3,0.201,0.173,0.246
"Exercise Encouraged",16,0.197,0.213,0.357
"Exercise Social Norms Shared (High)",22,0.196,0.22,0.372
"Reflecting on Workouts Encouraged",45,0.196,0.207,0.344
"Higher Incentives b",36,0.184,0.195,0.344
"Bonus for Returning after Missed Workouts a",4,0.175,0.215,0.416
"Rigidity Rewarded c",50,0.17,0.184,0.355
"Exercise Encouraged with Typed Pledge",19,0.169,0.16,0.292
"Loss-Framed Micro-Incentives",37,0.166,0.237,0.485
"Exercise Commitment Contract Encouraged",13,0.163,0.181,0.37
"Exercise Commitment Contract Explained Post-Intervention",15,0.158,0.199,0.428
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.151,0.162,0.349
"Exercise Social Norms Shared (Low)",24,0.136,0.186,0.464
"Exercise Encouraged with Signed Pledge",18,0.129,0.182,0.478
"Defaulted into 1 Weekly Workout",8,0.122,0.174,0.486
"Higher Incentives a",35,0.064,0.223,0.774
"Fun Workouts Encouraged",32,0.048,0.207,0.817
"Rigidity Rewarded d",51,0.037,0.282,0.896
"Planning Fallacy Described and Planning Revision Encouraged",40,0.031,0.22,0.887
"Placebo Control",1,0,0,0
"Bonus for Variable Exercise Schedule",6,-0.032,0.213,0.879
"Fitness Questionnaire",25,-0.045,0.204,0.825
"Planning Revision Encouraged",41,-0.072,0.188,0.7
"Planning Benefits Explained",39,-0.074,0.259,0.776
"Fitness Questionnaire with Decision Support",27,-0.103,0.19,0.588
"Exercise Advice Solicited, Shared with Others",12,-0.122,0.191,0.523
"Rigidity Rewarded b",49,-0.173,0.312,0.579
"Free Audiobook Provided",30,-0.392,0.392,0.318
