"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts b",5,1.349,0.424,0.001
"Higher Incentives a",35,0.859,0.278,0.002
"Bonus for Returning after Missed Workouts a",4,0.637,0.235,0.007
"Planning Revision Encouraged",41,0.617,0.208,0.003
"Rigidity Rewarded c",50,0.616,0.273,0.024
"Exercise Commitment Contract Explained",14,0.613,0.231,0.008
"Planning Fallacy Described and Planning Revision Encouraged",40,0.61,0.186,0.001
"Fitness Questionnaire",25,0.527,0.19,0.006
"Exercise Social Norms Shared (High and Increasing)",21,0.517,0.229,0.024
"Following Workout Plan Encouraged",29,0.51,0.257,0.047
"Higher Incentives b",36,0.499,0.177,0.005
"Asked Questions about Workouts",2,0.494,0.424,0.244
"Planning Workouts Encouraged",42,0.492,0.241,0.041
"Rigidity Rewarded a",48,0.492,0.182,0.007
"Planning Benefits Explained",39,0.469,0.202,0.02
"Reflecting on Workouts Encouraged",45,0.451,0.163,0.006
"Exercise Encouraged with Signed Pledge",18,0.443,0.175,0.011
"Fun Workouts Encouraged",32,0.442,0.187,0.018
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.419,0.165,0.011
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.399,0.189,0.035
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.397,0.161,0.014
"Exercise Social Norms Shared (Low)",24,0.397,0.183,0.03
"Defaulted into 3 Weekly Workouts",9,0.374,0.176,0.034
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.369,0.164,0.024
"Exercise Social Norms Shared (Low but Increasing)",23,0.361,0.201,0.073
"Bonus for Consistent Exercise Schedule",3,0.354,0.172,0.039
"Bonus for Variable Exercise Schedule",6,0.334,0.274,0.224
"Exercise Encouraged with E-Signed Pledge",17,0.331,0.193,0.086
"Rewarded for Responding to Questions about Workouts",47,0.323,0.198,0.103
"Rigidity Rewarded e",52,0.322,0.161,0.045
"Values Affirmation Followed by Diagnosis as Gritty",54,0.318,0.173,0.067
"Planning Workouts Rewarded",43,0.307,0.179,0.086
"Defaulted into 1 Weekly Workout",8,0.303,0.178,0.088
"Exercise Fun Facts Shared",20,0.292,0.188,0.121
"Rigidity Rewarded d",51,0.291,0.241,0.227
"Effective Workouts Encouraged",10,0.285,0.244,0.242
"Fitness Questionnaire with Decision Support",27,0.274,0.168,0.103
"Exercise Advice Solicited",11,0.273,0.186,0.141
"Planning, Reminders & Micro-Incentives to Exercise",44,0.264,0.193,0.172
"Exercise Encouraged",16,0.244,0.196,0.214
"Values Affirmation",53,0.224,0.214,0.294
"Reflecting on Workouts Rewarded",46,0.214,0.163,0.188
"Loss-Framed Micro-Incentives",37,0.18,0.198,0.363
"Gain-Framed Micro-Incentives",33,0.177,0.238,0.458
"Free Audiobook Provided",30,0.142,0.355,0.689
"Exercise Advice Solicited, Shared with Others",12,0.08,0.194,0.68
"Gym Routine Encouraged",34,0.054,0.183,0.77
"Exercise Social Norms Shared (High)",22,0.045,0.229,0.845
"Exercise Commitment Contract Encouraged",13,0.029,0.189,0.88
"Exercise Commitment Contract Explained Post-Intervention",15,0.004,0.185,0.982
"Rigidity Rewarded b",49,0.001,0.307,0.999
"Placebo Control",1,0,0,0
"Free Audiobook Provided, Temptation Bundling Explained",31,-0.031,0.219,0.887
"Exercise Encouraged with Typed Pledge",19,-0.157,0.232,0.499
