"factor","treatment_number","coef","sd","pval"
"Higher Incentives b",36,0.521,0.226,0.021
"Free Audiobook Provided, Temptation Bundling Explained",31,0.481,0.286,0.092
"Values Affirmation Followed by Diagnosis as Gritty",54,0.389,0.159,0.014
"Asked Questions about Workouts",2,0.331,0.242,0.171
"Bonus for Returning after Missed Workouts a",4,0.318,0.251,0.206
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.268,0.219,0.221
"Planning Workouts Rewarded",43,0.253,0.214,0.238
"Values Affirmation",53,0.197,0.251,0.432
"Bonus for Returning after Missed Workouts b",5,0.181,0.197,0.357
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.173,0.183,0.345
"Rigidity Rewarded a",48,0.166,0.221,0.451
"Rigidity Rewarded b",49,0.164,0.266,0.538
"Following Workout Plan Encouraged",29,0.155,0.183,0.397
"Planning Workouts Encouraged",42,0.147,0.162,0.366
"Gain-Framed Micro-Incentives",33,0.133,0.178,0.457
"Fun Workouts Encouraged",32,0.123,0.179,0.493
"Rigidity Rewarded d",51,0.123,0.22,0.576
"Fitness Questionnaire",25,0.112,0.176,0.523
"Planning Fallacy Described and Planning Revision Encouraged",40,0.105,0.225,0.642
"Defaulted into 3 Weekly Workouts",9,0.103,0.175,0.556
"Exercise Social Norms Shared (Low but Increasing)",23,0.098,0.153,0.522
"Effective Workouts Encouraged",10,0.094,0.164,0.565
"Exercise Social Norms Shared (High and Increasing)",21,0.074,0.164,0.653
"Exercise Encouraged",16,0.065,0.19,0.734
"Free Audiobook Provided",30,0.05,0.46,0.913
"Rewarded for Responding to Questions about Workouts",47,0.046,0.194,0.811
"Rigidity Rewarded e",52,0.038,0.154,0.804
"Loss-Framed Micro-Incentives",37,0.031,0.202,0.878
"Exercise Advice Solicited",11,0.03,0.238,0.9
"Exercise Encouraged with Signed Pledge",18,0.03,0.278,0.915
"Exercise Social Norms Shared (Low)",24,0.028,0.176,0.876
"Gym Routine Encouraged",34,0.028,0.174,0.87
"Exercise Commitment Contract Encouraged",13,0.021,0.193,0.913
"Planning Revision Encouraged",41,0.017,0.195,0.932
"Fitness Questionnaire with Decision Support",27,0.011,0.194,0.954
"Reflecting on Workouts Encouraged",45,0.011,0.192,0.956
"Placebo Control",1,0,0,0
"Exercise Commitment Contract Explained",14,-0.007,0.177,0.969
"Bonus for Consistent Exercise Schedule",3,-0.02,0.191,0.918
"Planning, Reminders & Micro-Incentives to Exercise",44,-0.04,0.208,0.847
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,-0.042,0.163,0.795
"Bonus for Variable Exercise Schedule",6,-0.049,0.224,0.827
"Planning Benefits Explained",39,-0.051,0.267,0.848
"Exercise Commitment Contract Explained Post-Intervention",15,-0.057,0.193,0.767
"Reflecting on Workouts Rewarded",46,-0.087,0.179,0.626
"Defaulted into 1 Weekly Workout",8,-0.114,0.187,0.542
"Exercise Fun Facts Shared",20,-0.123,0.223,0.582
"Exercise Social Norms Shared (High)",22,-0.148,0.243,0.544
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.155,0.178,0.383
"Rigidity Rewarded c",50,-0.163,0.212,0.441
"Exercise Encouraged with Typed Pledge",19,-0.17,0.184,0.355
"Exercise Advice Solicited, Shared with Others",12,-0.207,0.174,0.234
"Higher Incentives a",35,-0.221,0.39,0.571
"Exercise Encouraged with E-Signed Pledge",17,-0.229,0.215,0.288
