"factor","treatment_number","coef","sd","pval"
"Higher Incentives b",36,0.724,0.207,0
"Free Audiobook Provided",30,0.634,0.224,0.005
"Bonus for Returning after Missed Workouts b",5,0.627,0.372,0.092
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.558,0.161,0.001
"Exercise Advice Solicited",11,0.494,0.187,0.008
"Free Audiobook Provided, Temptation Bundling Explained",31,0.44,0.225,0.05
"Bonus for Returning after Missed Workouts a",4,0.431,0.232,0.063
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.35,0.168,0.037
"Exercise Fun Facts Shared",20,0.347,0.175,0.047
"Exercise Social Norms Shared (High and Increasing)",21,0.324,0.19,0.087
"Rewarded for Responding to Questions about Workouts",47,0.324,0.192,0.092
"Exercise Social Norms Shared (Low)",24,0.321,0.196,0.101
"Fun Workouts Encouraged",32,0.314,0.158,0.047
"Loss-Framed Micro-Incentives",37,0.314,0.19,0.099
"Rigidity Rewarded c",50,0.275,0.181,0.127
"Planning Fallacy Described and Planning Revision Encouraged",40,0.256,0.186,0.17
"Bonus for Consistent Exercise Schedule",3,0.236,0.196,0.23
"Reflecting on Workouts Encouraged",45,0.234,0.151,0.12
"Exercise Commitment Contract Explained",14,0.216,0.199,0.279
"Values Affirmation Followed by Diagnosis as Gritty",54,0.214,0.159,0.177
"Rigidity Rewarded a",48,0.193,0.227,0.393
"Planning, Reminders & Micro-Incentives to Exercise",44,0.19,0.192,0.323
"Following Workout Plan Encouraged",29,0.189,0.174,0.278
"Fitness Questionnaire",25,0.187,0.217,0.388
"Planning Benefits Explained",39,0.175,0.187,0.349
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.159,0.192,0.407
"Exercise Encouraged with Typed Pledge",19,0.156,0.288,0.588
"Exercise Social Norms Shared (High)",22,0.141,0.19,0.459
"Reflecting on Workouts Rewarded",46,0.135,0.169,0.424
"Exercise Encouraged with Signed Pledge",18,0.134,0.158,0.398
"Effective Workouts Encouraged",10,0.125,0.19,0.508
"Exercise Advice Solicited, Shared with Others",12,0.124,0.206,0.547
"Exercise Social Norms Shared (Low but Increasing)",23,0.112,0.195,0.566
"Values Affirmation",53,0.112,0.171,0.513
"Defaulted into 1 Weekly Workout",8,0.11,0.172,0.522
"Gain-Framed Micro-Incentives",33,0.104,0.171,0.545
"Rigidity Rewarded e",52,0.094,0.162,0.56
"Exercise Commitment Contract Explained Post-Intervention",15,0.079,0.217,0.715
"Defaulted into 3 Weekly Workouts",9,0.076,0.164,0.642
"Rigidity Rewarded d",51,0.056,0.251,0.823
"Exercise Encouraged with E-Signed Pledge",17,0.049,0.174,0.779
"Planning Revision Encouraged",41,0.049,0.176,0.783
"Planning Workouts Encouraged",42,0.03,0.272,0.911
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.028,0.171,0.869
"Placebo Control",1,0,0,0
"Exercise Encouraged",16,-0.007,0.184,0.968
"Gym Routine Encouraged",34,-0.01,0.203,0.962
"Exercise Commitment Contract Encouraged",13,-0.043,0.208,0.835
"Asked Questions about Workouts",2,-0.069,0.198,0.728
"Higher Incentives a",35,-0.076,0.368,0.837
"Bonus for Variable Exercise Schedule",6,-0.091,0.24,0.705
"Fitness Questionnaire with Decision Support",27,-0.145,0.206,0.481
"Planning Workouts Rewarded",43,-0.165,0.198,0.405
"Rigidity Rewarded b",49,-0.256,0.203,0.206
