"factor","treatment_number","coef","sd","pval"
"Asked Questions about Workouts",2,0.549,0.214,0.01
"Values Affirmation Followed by Diagnosis as Gritty",54,0.504,0.168,0.003
"Exercise Social Norms Shared (High and Increasing)",21,0.498,0.221,0.024
"Bonus for Returning after Missed Workouts a",4,0.493,0.178,0.006
"Planning Fallacy Described and Planning Revision Encouraged",40,0.481,0.267,0.071
"Bonus for Consistent Exercise Schedule",3,0.457,0.224,0.041
"Higher Incentives a",35,0.454,0.219,0.038
"Exercise Encouraged",16,0.45,0.248,0.07
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.415,0.156,0.008
"Exercise Commitment Contract Explained",14,0.41,0.205,0.046
"Planning, Reminders & Micro-Incentives to Exercise",44,0.406,0.22,0.065
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.393,0.22,0.074
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.392,0.164,0.017
"Rigidity Rewarded a",48,0.388,0.276,0.159
"Higher Incentives b",36,0.372,0.191,0.052
"Effective Workouts Encouraged",10,0.368,0.168,0.029
"Planning Revision Encouraged",41,0.366,0.193,0.058
"Exercise Fun Facts Shared",20,0.34,0.187,0.069
"Exercise Encouraged with Typed Pledge",19,0.338,0.238,0.155
"Free Audiobook Provided, Temptation Bundling Explained",31,0.325,0.298,0.275
"Bonus for Returning after Missed Workouts b",5,0.324,0.227,0.153
"Rigidity Rewarded e",52,0.314,0.196,0.109
"Following Workout Plan Encouraged",29,0.307,0.166,0.064
"Exercise Encouraged with E-Signed Pledge",17,0.273,0.17,0.109
"Fitness Questionnaire",25,0.267,0.161,0.098
"Defaulted into 3 Weekly Workouts",9,0.253,0.163,0.121
"Free Audiobook Provided",30,0.249,0.36,0.49
"Loss-Framed Micro-Incentives",37,0.21,0.174,0.227
"Fun Workouts Encouraged",32,0.188,0.187,0.315
"Gym Routine Encouraged",34,0.172,0.175,0.326
"Rigidity Rewarded b",49,0.172,0.217,0.428
"Exercise Social Norms Shared (Low but Increasing)",23,0.17,0.157,0.276
"Planning Workouts Rewarded",43,0.161,0.169,0.34
"Exercise Advice Solicited",11,0.155,0.187,0.408
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.155,0.158,0.326
"Exercise Commitment Contract Explained Post-Intervention",15,0.154,0.204,0.451
"Values Affirmation",53,0.152,0.197,0.442
"Exercise Encouraged with Signed Pledge",18,0.139,0.184,0.45
"Exercise Social Norms Shared (Low)",24,0.139,0.159,0.381
"Defaulted into 1 Weekly Workout",8,0.124,0.153,0.417
"Gain-Framed Micro-Incentives",33,0.123,0.246,0.616
"Fitness Questionnaire with Decision Support",27,0.115,0.187,0.537
"Bonus for Variable Exercise Schedule",6,0.11,0.242,0.651
"Planning Benefits Explained",39,0.104,0.238,0.663
"Reflecting on Workouts Encouraged",45,0.104,0.158,0.509
"Reflecting on Workouts Rewarded",46,0.09,0.15,0.547
"Rigidity Rewarded c",50,0.09,0.194,0.642
"Rigidity Rewarded d",51,0.073,0.218,0.738
"Rewarded for Responding to Questions about Workouts",47,0.02,0.18,0.91
"Placebo Control",1,0,0,0
"Exercise Advice Solicited, Shared with Others",12,-0.013,0.196,0.945
"Exercise Commitment Contract Encouraged",13,-0.042,0.189,0.823
"Planning Workouts Encouraged",42,-0.135,0.179,0.45
"Exercise Social Norms Shared (High)",22,-0.25,0.264,0.344
