"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts b",5,0.743,0.239,0.002
"Planning Fallacy Described and Planning Revision Encouraged",40,0.484,0.32,0.13
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.366,0.16,0.023
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.362,0.159,0.023
"Exercise Social Norms Shared (High and Increasing)",21,0.344,0.158,0.03
"Rigidity Rewarded c",50,0.338,0.176,0.055
"Exercise Advice Solicited",11,0.318,0.183,0.083
"Exercise Encouraged",16,0.312,0.182,0.087
"Exercise Advice Solicited, Shared with Others",12,0.3,0.187,0.108
"Reflecting on Workouts Encouraged",45,0.299,0.137,0.029
"Bonus for Returning after Missed Workouts a",4,0.297,0.282,0.292
"Free Audiobook Provided, Temptation Bundling Explained",31,0.269,0.231,0.245
"Rigidity Rewarded a",48,0.269,0.148,0.069
"Effective Workouts Encouraged",10,0.228,0.162,0.159
"Exercise Encouraged with Typed Pledge",19,0.219,0.157,0.164
"Exercise Commitment Contract Encouraged",13,0.211,0.152,0.164
"Rigidity Rewarded e",52,0.21,0.138,0.13
"Free Audiobook Provided",30,0.209,0.265,0.43
"Higher Incentives a",35,0.206,0.319,0.518
"Exercise Encouraged with Signed Pledge",18,0.204,0.147,0.166
"Exercise Commitment Contract Explained Post-Intervention",15,0.187,0.194,0.334
"Gym Routine Encouraged",34,0.177,0.166,0.287
"Following Workout Plan Encouraged",29,0.159,0.16,0.319
"Exercise Social Norms Shared (High)",22,0.144,0.138,0.296
"Values Affirmation",53,0.139,0.173,0.422
"Fun Workouts Encouraged",32,0.138,0.159,0.386
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.136,0.158,0.39
"Bonus for Variable Exercise Schedule",6,0.134,0.184,0.466
"Exercise Commitment Contract Explained",14,0.123,0.159,0.441
"Exercise Encouraged with E-Signed Pledge",17,0.097,0.215,0.651
"Planning, Reminders & Micro-Incentives to Exercise",44,0.095,0.209,0.65
"Asked Questions about Workouts",2,0.087,0.156,0.576
"Values Affirmation Followed by Diagnosis as Gritty",54,0.076,0.144,0.6
"Exercise Fun Facts Shared",20,0.073,0.178,0.68
"Defaulted into 3 Weekly Workouts",9,0.069,0.166,0.678
"Exercise Social Norms Shared (Low)",24,0.061,0.165,0.713
"Loss-Framed Micro-Incentives",37,0.045,0.168,0.788
"Bonus for Consistent Exercise Schedule",3,0.043,0.17,0.802
"Planning Benefits Explained",39,0.03,0.24,0.901
"Defaulted into 1 Weekly Workout",8,0.023,0.146,0.877
"Higher Incentives b",36,0.007,0.217,0.974
"Placebo Control",1,0,0,0
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0,0.157,1
"Fitness Questionnaire with Decision Support",27,-0.004,0.181,0.983
"Exercise Social Norms Shared (Low but Increasing)",23,-0.014,0.148,0.925
"Planning Workouts Rewarded",43,-0.044,0.202,0.828
"Gain-Framed Micro-Incentives",33,-0.046,0.202,0.821
"Rigidity Rewarded b",49,-0.047,0.221,0.833
"Rigidity Rewarded d",51,-0.075,0.175,0.669
"Planning Revision Encouraged",41,-0.087,0.188,0.643
"Planning Workouts Encouraged",42,-0.091,0.203,0.652
"Fitness Questionnaire",25,-0.095,0.171,0.577
"Reflecting on Workouts Rewarded",46,-0.107,0.136,0.431
"Rewarded for Responding to Questions about Workouts",47,-0.293,0.266,0.271
