"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts b",5,0.695,0.398,0.08
"Bonus for Returning after Missed Workouts a",4,0.462,0.221,0.036
"Free Audiobook Provided",30,0.397,0.309,0.199
"Exercise Social Norms Shared (High and Increasing)",21,0.395,0.186,0.034
"Rigidity Rewarded a",48,0.363,0.234,0.121
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.36,0.161,0.025
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.344,0.164,0.036
"Exercise Encouraged with E-Signed Pledge",17,0.335,0.211,0.113
"Rigidity Rewarded c",50,0.328,0.219,0.134
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.322,0.205,0.117
"Values Affirmation",53,0.319,0.242,0.186
"Exercise Encouraged with Signed Pledge",18,0.311,0.205,0.129
"Defaulted into 3 Weekly Workouts",9,0.31,0.157,0.047
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.291,0.207,0.16
"Exercise Commitment Contract Explained",14,0.28,0.219,0.2
"Planning Revision Encouraged",41,0.266,0.224,0.235
"Higher Incentives a",35,0.248,0.218,0.256
"Following Workout Plan Encouraged",29,0.205,0.198,0.3
"Fitness Questionnaire with Decision Support",27,0.196,0.216,0.364
"Planning Workouts Encouraged",42,0.192,0.172,0.264
"Gym Routine Encouraged",34,0.185,0.19,0.329
"Defaulted into 1 Weekly Workout",8,0.18,0.164,0.274
"Fun Workouts Encouraged",32,0.173,0.162,0.286
"Rigidity Rewarded d",51,0.163,0.226,0.472
"Exercise Fun Facts Shared",20,0.144,0.184,0.435
"Planning, Reminders & Micro-Incentives to Exercise",44,0.143,0.186,0.44
"Rigidity Rewarded b",49,0.142,0.168,0.398
"Values Affirmation Followed by Diagnosis as Gritty",54,0.128,0.179,0.473
"Exercise Encouraged with Typed Pledge",19,0.104,0.183,0.569
"Exercise Advice Solicited",11,0.099,0.223,0.657
"Rewarded for Responding to Questions about Workouts",47,0.098,0.194,0.612
"Exercise Social Norms Shared (Low but Increasing)",23,0.095,0.209,0.649
"Reflecting on Workouts Rewarded",46,0.086,0.163,0.596
"Loss-Framed Micro-Incentives",37,0.073,0.18,0.686
"Bonus for Consistent Exercise Schedule",3,0.068,0.184,0.712
"Exercise Commitment Contract Explained Post-Intervention",15,0.065,0.187,0.728
"Asked Questions about Workouts",2,0.063,0.253,0.803
"Reflecting on Workouts Encouraged",45,0.04,0.151,0.792
"Higher Incentives b",36,0.028,0.333,0.932
"Bonus for Variable Exercise Schedule",6,0.026,0.23,0.91
"Exercise Social Norms Shared (Low)",24,0.022,0.18,0.902
"Exercise Commitment Contract Encouraged",13,0.012,0.201,0.952
"Placebo Control",1,0,0,0
"Rigidity Rewarded e",52,-0.001,0.192,0.998
"Gain-Framed Micro-Incentives",33,-0.053,0.232,0.818
"Exercise Advice Solicited, Shared with Others",12,-0.055,0.172,0.751
"Planning Fallacy Described and Planning Revision Encouraged",40,-0.067,0.225,0.764
"Fitness Questionnaire",25,-0.083,0.157,0.598
"Effective Workouts Encouraged",10,-0.085,0.157,0.588
"Free Audiobook Provided, Temptation Bundling Explained",31,-0.093,0.178,0.602
"Exercise Encouraged",16,-0.133,0.188,0.479
"Planning Benefits Explained",39,-0.139,0.216,0.519
"Exercise Social Norms Shared (High)",22,-0.299,0.276,0.278
"Planning Workouts Rewarded",43,-0.41,0.208,0.049
