"factor","treatment_number","coef","sd","pval"
"Free Audiobook Provided",30,0.499,0.343,0.145
"Planning Fallacy Described and Planning Revision Encouraged",40,0.353,0.174,0.043
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.351,0.172,0.041
"Rigidity Rewarded c",50,0.283,0.187,0.129
"Reflecting on Workouts Encouraged",45,0.268,0.156,0.086
"Exercise Social Norms Shared (High and Increasing)",21,0.253,0.2,0.205
"Planning, Reminders & Micro-Incentives to Exercise",44,0.24,0.181,0.185
"Exercise Advice Solicited",11,0.218,0.184,0.236
"Planning Revision Encouraged",41,0.194,0.186,0.296
"Exercise Social Norms Shared (High)",22,0.161,0.188,0.393
"Bonus for Consistent Exercise Schedule",3,0.155,0.224,0.491
"Defaulted into 3 Weekly Workouts",9,0.144,0.16,0.367
"Bonus for Returning after Missed Workouts b",5,0.133,0.182,0.466
"Free Audiobook Provided, Temptation Bundling Explained",31,0.132,0.277,0.633
"Fitness Questionnaire",25,0.129,0.221,0.558
"Values Affirmation",53,0.127,0.167,0.446
"Planning Workouts Rewarded",43,0.102,0.227,0.654
"Exercise Commitment Contract Explained",14,0.1,0.178,0.576
"Bonus for Returning after Missed Workouts a",4,0.077,0.174,0.658
"Exercise Social Norms Shared (Low)",24,0.065,0.166,0.694
"Higher Incentives b",36,0.065,0.193,0.739
"Fitness Questionnaire with Decision Support",27,0.06,0.193,0.756
"Exercise Commitment Contract Explained Post-Intervention",15,0.038,0.163,0.816
"Higher Incentives a",35,0.037,0.415,0.929
"Asked Questions about Workouts",2,0.036,0.219,0.871
"Planning Workouts Encouraged",42,0.033,0.221,0.88
"Rigidity Rewarded a",48,0.026,0.269,0.924
"Loss-Framed Micro-Incentives",37,0.009,0.198,0.963
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.003,0.152,0.985
"Gain-Framed Micro-Incentives",33,0.002,0.149,0.987
"Placebo Control",1,0,0,0
"Exercise Fun Facts Shared",20,-0,0.184,0.999
"Following Workout Plan Encouraged",29,-0.003,0.173,0.988
"Reflecting on Workouts Rewarded",46,-0.015,0.166,0.929
"Exercise Encouraged with Typed Pledge",19,-0.024,0.271,0.93
"Rigidity Rewarded d",51,-0.028,0.277,0.918
"Exercise Encouraged",16,-0.034,0.205,0.869
"Values Affirmation Followed by Diagnosis as Gritty",54,-0.051,0.143,0.722
"Rigidity Rewarded b",49,-0.061,0.172,0.724
"Choice of Gain- or Loss-Framed Micro-Incentives",7,-0.076,0.168,0.653
"Effective Workouts Encouraged",10,-0.086,0.173,0.621
"Bonus for Variable Exercise Schedule",6,-0.088,0.196,0.654
"Defaulted into 1 Weekly Workout",8,-0.098,0.177,0.578
"Exercise Commitment Contract Encouraged",13,-0.124,0.157,0.43
"Exercise Encouraged with Signed Pledge",18,-0.149,0.219,0.496
"Rigidity Rewarded e",52,-0.155,0.149,0.297
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.165,0.161,0.305
"Planning Benefits Explained",39,-0.165,0.23,0.473
"Exercise Encouraged with E-Signed Pledge",17,-0.176,0.198,0.374
"Gym Routine Encouraged",34,-0.179,0.192,0.349
"Exercise Social Norms Shared (Low but Increasing)",23,-0.2,0.169,0.236
"Rewarded for Responding to Questions about Workouts",47,-0.202,0.187,0.281
"Exercise Advice Solicited, Shared with Others",12,-0.233,0.162,0.15
"Fun Workouts Encouraged",32,-0.27,0.147,0.067
