"factor","treatment_number","coef","sd","pval"
"Planning Fallacy Described and Planning Revision Encouraged",40,0.625,0.359,0.081
"Exercise Social Norms Shared (High and Increasing)",21,0.615,0.199,0.002
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.576,0.176,0.001
"Rigidity Rewarded d",51,0.558,0.236,0.018
"Following Workout Plan Encouraged",29,0.554,0.183,0.002
"Planning Workouts Encouraged",42,0.547,0.245,0.025
"Free Audiobook Provided, Temptation Bundling Explained",31,0.54,0.274,0.049
"Exercise Social Norms Shared (Low)",24,0.525,0.153,0.001
"Planning, Reminders & Micro-Incentives to Exercise",44,0.475,0.174,0.007
"Exercise Fun Facts Shared",20,0.466,0.185,0.012
"Exercise Encouraged with Typed Pledge",19,0.464,0.156,0.003
"Reflecting on Workouts Rewarded",46,0.447,0.158,0.005
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.427,0.183,0.02
"Exercise Advice Solicited",11,0.417,0.181,0.021
"Rigidity Rewarded b",49,0.4,0.177,0.024
"Exercise Commitment Contract Explained",14,0.396,0.213,0.063
"Defaulted into 1 Weekly Workout",8,0.387,0.158,0.014
"Gym Routine Encouraged",34,0.374,0.181,0.038
"Higher Incentives a",35,0.37,0.239,0.122
"Rigidity Rewarded a",48,0.368,0.228,0.107
"Rewarded for Responding to Questions about Workouts",47,0.36,0.17,0.034
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.35,0.182,0.054
"Exercise Encouraged",16,0.329,0.198,0.097
"Fitness Questionnaire with Decision Support",27,0.323,0.174,0.062
"Fitness Questionnaire",25,0.322,0.157,0.041
"Higher Incentives b",36,0.321,0.222,0.147
"Reflecting on Workouts Encouraged",45,0.306,0.15,0.041
"Bonus for Returning after Missed Workouts b",5,0.302,0.292,0.3
"Exercise Commitment Contract Explained Post-Intervention",15,0.292,0.167,0.081
"Planning Workouts Rewarded",43,0.276,0.208,0.183
"Bonus for Consistent Exercise Schedule",3,0.274,0.175,0.118
"Rigidity Rewarded e",52,0.272,0.166,0.1
"Values Affirmation",53,0.27,0.159,0.09
"Gain-Framed Micro-Incentives",33,0.267,0.26,0.304
"Exercise Social Norms Shared (Low but Increasing)",23,0.255,0.151,0.09
"Asked Questions about Workouts",2,0.254,0.189,0.178
"Fun Workouts Encouraged",32,0.249,0.162,0.125
"Planning Benefits Explained",39,0.246,0.21,0.241
"Bonus for Returning after Missed Workouts a",4,0.244,0.196,0.212
"Free Audiobook Provided",30,0.243,0.388,0.531
"Defaulted into 3 Weekly Workouts",9,0.211,0.156,0.177
"Exercise Commitment Contract Encouraged",13,0.211,0.212,0.32
"Exercise Encouraged with E-Signed Pledge",17,0.196,0.213,0.356
"Loss-Framed Micro-Incentives",37,0.183,0.172,0.288
"Rigidity Rewarded c",50,0.158,0.217,0.466
"Exercise Encouraged with Signed Pledge",18,0.149,0.174,0.391
"Values Affirmation Followed by Diagnosis as Gritty",54,0.147,0.233,0.528
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.11,0.162,0.496
"Planning Revision Encouraged",41,0.069,0.162,0.668
"Exercise Advice Solicited, Shared with Others",12,0.052,0.165,0.751
"Effective Workouts Encouraged",10,0.047,0.169,0.782
"Bonus for Variable Exercise Schedule",6,0.018,0.28,0.95
"Placebo Control",1,0,0,0
"Exercise Social Norms Shared (High)",22,-0.066,0.227,0.771
