"factor","treatment_number","coef","sd","pval"
"Higher Incentives a",35,0.676,0.185,0
"Bonus for Returning after Missed Workouts b",5,0.58,0.439,0.186
"Exercise Social Norms Shared (High and Increasing)",21,0.497,0.202,0.014
"Following Workout Plan Encouraged",29,0.482,0.22,0.028
"Rewarded for Responding to Questions about Workouts",47,0.391,0.176,0.026
"Exercise Encouraged with Typed Pledge",19,0.328,0.212,0.122
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.315,0.155,0.042
"Free Audiobook Provided",30,0.294,0.244,0.227
"Rigidity Rewarded a",48,0.288,0.337,0.392
"Exercise Social Norms Shared (Low but Increasing)",23,0.284,0.18,0.114
"Bonus for Consistent Exercise Schedule",3,0.278,0.196,0.157
"Exercise Fun Facts Shared",20,0.266,0.223,0.233
"Exercise Commitment Contract Encouraged",13,0.243,0.208,0.243
"Rigidity Rewarded d",51,0.239,0.276,0.388
"Fitness Questionnaire",25,0.224,0.159,0.16
"Exercise Commitment Contract Explained",14,0.201,0.189,0.288
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.191,0.164,0.243
"Values Affirmation",53,0.183,0.161,0.255
"Exercise Encouraged with Signed Pledge",18,0.182,0.176,0.301
"Planning Benefits Explained",39,0.182,0.172,0.288
"Defaulted into 3 Weekly Workouts",9,0.165,0.158,0.295
"Free Audiobook Provided, Temptation Bundling Explained",31,0.153,0.272,0.574
"Rigidity Rewarded c",50,0.152,0.185,0.41
"Bonus for Returning after Missed Workouts a",4,0.151,0.174,0.383
"Planning Fallacy Described and Planning Revision Encouraged",40,0.13,0.2,0.514
"Exercise Social Norms Shared (Low)",24,0.127,0.185,0.491
"Fun Workouts Encouraged",32,0.124,0.171,0.471
"Gain-Framed Micro-Incentives",33,0.119,0.19,0.53
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.107,0.191,0.577
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.083,0.151,0.584
"Defaulted into 1 Weekly Workout",8,0.082,0.155,0.599
"Planning Revision Encouraged",41,0.081,0.214,0.706
"Loss-Framed Micro-Incentives",37,0.061,0.165,0.713
"Exercise Advice Solicited",11,0.034,0.154,0.825
"Reflecting on Workouts Encouraged",45,0.03,0.147,0.841
"Bonus for Variable Exercise Schedule",6,0.018,0.185,0.924
"Gym Routine Encouraged",34,0.01,0.19,0.958
"Values Affirmation Followed by Diagnosis as Gritty",54,0.005,0.168,0.978
"Placebo Control",1,0,0,0
"Rigidity Rewarded e",52,-0.003,0.144,0.981
"Reflecting on Workouts Rewarded",46,-0.037,0.136,0.784
"Planning Workouts Rewarded",43,-0.066,0.251,0.792
"Planning Workouts Encouraged",42,-0.097,0.205,0.637
"Exercise Commitment Contract Explained Post-Intervention",15,-0.102,0.173,0.555
"Exercise Advice Solicited, Shared with Others",12,-0.126,0.196,0.518
"Exercise Encouraged with E-Signed Pledge",17,-0.178,0.153,0.245
"Exercise Encouraged",16,-0.185,0.175,0.292
"Asked Questions about Workouts",2,-0.2,0.181,0.269
"Planning, Reminders & Micro-Incentives to Exercise",44,-0.217,0.155,0.161
"Effective Workouts Encouraged",10,-0.225,0.141,0.112
"Rigidity Rewarded b",49,-0.28,0.234,0.231
"Higher Incentives b",36,-0.297,0.191,0.12
"Fitness Questionnaire with Decision Support",27,-0.422,0.179,0.018
"Exercise Social Norms Shared (High)",22,-0.512,0.216,0.018
