"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts a",4,0.891,0.233,0
"Asked Questions about Workouts",2,0.862,0.244,0
"Free Audiobook Provided",30,0.801,0.211,0
"Free Audiobook Provided, Temptation Bundling Explained",31,0.748,0.289,0.01
"Exercise Social Norms Shared (High and Increasing)",21,0.648,0.188,0.001
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.642,0.234,0.006
"Exercise Commitment Contract Explained",14,0.617,0.217,0.004
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.588,0.195,0.003
"Fitness Questionnaire",25,0.586,0.237,0.014
"Planning Fallacy Described and Planning Revision Encouraged",40,0.582,0.243,0.017
"Planning Revision Encouraged",41,0.568,0.227,0.012
"Higher Incentives a",35,0.561,0.262,0.032
"Higher Incentives b",36,0.541,0.174,0.002
"Bonus for Variable Exercise Schedule",6,0.53,0.234,0.023
"Rigidity Rewarded c",50,0.528,0.201,0.009
"Values Affirmation",53,0.512,0.218,0.019
"Bonus for Returning after Missed Workouts b",5,0.511,0.277,0.065
"Gym Routine Encouraged",34,0.489,0.195,0.012
"Exercise Social Norms Shared (Low)",24,0.477,0.199,0.017
"Exercise Social Norms Shared (High)",22,0.472,0.233,0.043
"Rigidity Rewarded a",48,0.471,0.215,0.029
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.462,0.198,0.02
"Exercise Encouraged with Signed Pledge",18,0.45,0.181,0.013
"Fun Workouts Encouraged",32,0.441,0.191,0.021
"Loss-Framed Micro-Incentives",37,0.441,0.198,0.026
"Effective Workouts Encouraged",10,0.434,0.178,0.015
"Planning Workouts Encouraged",42,0.427,0.222,0.054
"Exercise Advice Solicited",11,0.399,0.199,0.045
"Fitness Questionnaire with Decision Support",27,0.395,0.207,0.057
"Exercise Fun Facts Shared",20,0.386,0.216,0.074
"Defaulted into 1 Weekly Workout",8,0.38,0.191,0.046
"Exercise Encouraged with Typed Pledge",19,0.379,0.211,0.072
"Following Workout Plan Encouraged",29,0.36,0.19,0.058
"Exercise Social Norms Shared (Low but Increasing)",23,0.357,0.197,0.071
"Rewarded for Responding to Questions about Workouts",47,0.356,0.203,0.08
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.354,0.188,0.06
"Exercise Encouraged",16,0.346,0.229,0.131
"Planning Benefits Explained",39,0.334,0.247,0.175
"Reflecting on Workouts Encouraged",45,0.332,0.213,0.119
"Gain-Framed Micro-Incentives",33,0.328,0.264,0.214
"Exercise Commitment Contract Explained Post-Intervention",15,0.319,0.226,0.158
"Bonus for Consistent Exercise Schedule",3,0.292,0.208,0.161
"Planning, Reminders & Micro-Incentives to Exercise",44,0.287,0.206,0.163
"Reflecting on Workouts Rewarded",46,0.258,0.169,0.128
"Rigidity Rewarded b",49,0.256,0.224,0.253
"Rigidity Rewarded e",52,0.252,0.198,0.204
"Defaulted into 3 Weekly Workouts",9,0.229,0.203,0.26
"Planning Workouts Rewarded",43,0.228,0.219,0.298
"Values Affirmation Followed by Diagnosis as Gritty",54,0.219,0.25,0.381
"Exercise Advice Solicited, Shared with Others",12,0.175,0.205,0.392
"Rigidity Rewarded d",51,0.152,0.305,0.617
"Exercise Encouraged with E-Signed Pledge",17,0.094,0.191,0.621
"Exercise Commitment Contract Encouraged",13,0.026,0.229,0.909
"Placebo Control",1,0,0,0
