"factor","treatment_number","coef","sd","pval"
"Higher Incentives a",35,0.8,0.2,0
"Free Audiobook Provided, Temptation Bundling Explained",31,0.785,0.238,0.001
"Planning Fallacy Described and Planning Revision Encouraged",40,0.709,0.18,0
"Exercise Encouraged with Typed Pledge",19,0.671,0.239,0.005
"Exercise Social Norms Shared (High and Increasing)",21,0.656,0.212,0.002
"Exercise Commitment Contract Explained",14,0.644,0.208,0.002
"Rigidity Rewarded d",51,0.628,0.2,0.002
"Asked Questions about Workouts",2,0.62,0.328,0.059
"Bonus for Returning after Missed Workouts b",5,0.616,0.192,0.001
"Exercise Social Norms Shared (Low)",24,0.565,0.175,0.001
"Rigidity Rewarded a",48,0.564,0.158,0
"Exercise Social Norms Shared (High)",22,0.534,0.177,0.003
"Planning Revision Encouraged",41,0.498,0.201,0.013
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.489,0.233,0.035
"Fitness Questionnaire",25,0.489,0.209,0.019
"Exercise Encouraged with Signed Pledge",18,0.471,0.162,0.004
"Values Affirmation Followed by Diagnosis as Gritty",54,0.467,0.143,0.001
"Loss-Framed Micro-Incentives",37,0.455,0.183,0.013
"Following Workout Plan Encouraged",29,0.408,0.215,0.057
"Bonus for Returning after Missed Workouts a",4,0.404,0.188,0.031
"Bonus for Consistent Exercise Schedule",3,0.402,0.192,0.036
"Free Audiobook Provided",30,0.402,0.278,0.149
"Rigidity Rewarded e",52,0.393,0.179,0.028
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.385,0.216,0.076
"Rewarded for Responding to Questions about Workouts",47,0.327,0.195,0.093
"Defaulted into 3 Weekly Workouts",9,0.324,0.151,0.031
"Fun Workouts Encouraged",32,0.322,0.167,0.053
"Fitness Questionnaire with Decision Support",27,0.315,0.186,0.09
"Exercise Commitment Contract Explained Post-Intervention",15,0.312,0.17,0.066
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.307,0.151,0.042
"Gym Routine Encouraged",34,0.307,0.156,0.049
"Reflecting on Workouts Rewarded",46,0.301,0.16,0.061
"Effective Workouts Encouraged",10,0.295,0.168,0.079
"Planning, Reminders & Micro-Incentives to Exercise",44,0.281,0.183,0.126
"Rigidity Rewarded b",49,0.28,0.214,0.191
"Exercise Encouraged with E-Signed Pledge",17,0.278,0.209,0.184
"Higher Incentives b",36,0.251,0.229,0.275
"Exercise Advice Solicited",11,0.238,0.151,0.114
"Exercise Fun Facts Shared",20,0.23,0.202,0.255
"Exercise Encouraged",16,0.224,0.184,0.225
"Defaulted into 1 Weekly Workout",8,0.191,0.138,0.168
"Values Affirmation",53,0.189,0.192,0.325
"Planning Workouts Rewarded",43,0.171,0.181,0.345
"Rigidity Rewarded c",50,0.167,0.171,0.328
"Planning Workouts Encouraged",42,0.132,0.161,0.414
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.131,0.153,0.39
"Exercise Social Norms Shared (Low but Increasing)",23,0.13,0.206,0.528
"Reflecting on Workouts Encouraged",45,0.104,0.181,0.565
"Exercise Commitment Contract Encouraged",13,0.087,0.182,0.631
"Planning Benefits Explained",39,0.071,0.2,0.724
"Exercise Advice Solicited, Shared with Others",12,0.054,0.169,0.751
"Gain-Framed Micro-Incentives",33,0.027,0.218,0.901
"Placebo Control",1,0,0,0
"Bonus for Variable Exercise Schedule",6,-0,0.269,1
