"factor","treatment_number","coef","sd","pval"
"Asked Questions about Workouts",2,0.654,0.366,0.074
"Bonus for Returning after Missed Workouts a",4,0.644,0.247,0.009
"Higher Incentives a",35,0.625,0.279,0.025
"Exercise Encouraged",16,0.623,0.213,0.004
"Values Affirmation",53,0.604,0.168,0
"Free Audiobook Provided, Temptation Bundling Explained",31,0.601,0.205,0.003
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.588,0.152,0
"Bonus for Returning after Missed Workouts b",5,0.578,0.22,0.009
"Planning Fallacy Described and Planning Revision Encouraged",40,0.551,0.191,0.004
"Exercise Commitment Contract Explained",14,0.543,0.209,0.01
"Rigidity Rewarded a",48,0.527,0.198,0.008
"Exercise Social Norms Shared (High and Increasing)",21,0.5,0.163,0.002
"Values Affirmation Followed by Diagnosis as Gritty",54,0.492,0.185,0.008
"Exercise Encouraged with Signed Pledge",18,0.439,0.173,0.011
"Rigidity Rewarded b",49,0.435,0.243,0.073
"Bonus for Variable Exercise Schedule",6,0.425,0.195,0.029
"Defaulted into 3 Weekly Workouts",9,0.408,0.163,0.013
"Bonus for Consistent Exercise Schedule",3,0.399,0.159,0.012
"Exercise Social Norms Shared (Low but Increasing)",23,0.375,0.175,0.032
"Gym Routine Encouraged",34,0.373,0.176,0.034
"Loss-Framed Micro-Incentives",37,0.371,0.179,0.038
"Exercise Commitment Contract Explained Post-Intervention",15,0.366,0.172,0.033
"Exercise Encouraged with Typed Pledge",19,0.366,0.214,0.088
"Planning Workouts Encouraged",42,0.365,0.148,0.014
"Reflecting on Workouts Encouraged",45,0.349,0.155,0.024
"Fitness Questionnaire",25,0.348,0.16,0.03
"Free Audiobook Provided",30,0.337,0.266,0.205
"Exercise Encouraged with E-Signed Pledge",17,0.328,0.2,0.1
"Rigidity Rewarded e",52,0.327,0.144,0.023
"Planning, Reminders & Micro-Incentives to Exercise",44,0.325,0.199,0.103
"Rewarded for Responding to Questions about Workouts",47,0.324,0.163,0.047
"Planning Revision Encouraged",41,0.321,0.213,0.133
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.317,0.172,0.065
"Planning Benefits Explained",39,0.309,0.244,0.205
"Exercise Fun Facts Shared",20,0.298,0.19,0.116
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.287,0.147,0.051
"Reflecting on Workouts Rewarded",46,0.286,0.169,0.091
"Gain-Framed Micro-Incentives",33,0.27,0.179,0.132
"Planning Workouts Rewarded",43,0.27,0.157,0.085
"Exercise Social Norms Shared (High)",22,0.266,0.226,0.239
"Effective Workouts Encouraged",10,0.22,0.15,0.143
"Exercise Social Norms Shared (Low)",24,0.217,0.166,0.191
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.211,0.214,0.324
"Exercise Advice Solicited, Shared with Others",12,0.193,0.192,0.316
"Exercise Advice Solicited",11,0.176,0.197,0.372
"Defaulted into 1 Weekly Workout",8,0.14,0.173,0.42
"Following Workout Plan Encouraged",29,0.137,0.163,0.401
"Exercise Commitment Contract Encouraged",13,0.127,0.167,0.445
"Fun Workouts Encouraged",32,0.092,0.15,0.539
"Rigidity Rewarded d",51,0.057,0.237,0.808
"Rigidity Rewarded c",50,0.051,0.183,0.782
"Fitness Questionnaire with Decision Support",27,0.016,0.202,0.935
"Placebo Control",1,0,0,0
"Higher Incentives b",36,-0.052,0.23,0.819
