"factor","treatment_number","coef","sd","pval"
"Free Audiobook Provided",30,0.778,0.294,0.008
"Planning Fallacy Described and Planning Revision Encouraged",40,0.71,0.3,0.018
"Exercise Social Norms Shared (High and Increasing)",21,0.546,0.205,0.008
"Planning Revision Encouraged",41,0.514,0.211,0.015
"Bonus for Returning after Missed Workouts b",5,0.509,0.198,0.01
"Bonus for Consistent Exercise Schedule",3,0.437,0.21,0.037
"Higher Incentives a",35,0.4,0.235,0.089
"Values Affirmation",53,0.365,0.162,0.025
"Planning, Reminders & Micro-Incentives to Exercise",44,0.364,0.229,0.111
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.353,0.229,0.123
"Exercise Fun Facts Shared",20,0.337,0.204,0.098
"Reflecting on Workouts Encouraged",45,0.332,0.154,0.031
"Gain-Framed Micro-Incentives",33,0.327,0.174,0.061
"Exercise Encouraged with E-Signed Pledge",17,0.313,0.184,0.089
"Exercise Encouraged",16,0.31,0.179,0.082
"Gym Routine Encouraged",34,0.304,0.178,0.087
"Rigidity Rewarded a",48,0.297,0.243,0.222
"Planning Workouts Rewarded",43,0.288,0.183,0.116
"Free Audiobook Provided, Temptation Bundling Explained",31,0.285,0.271,0.292
"Asked Questions about Workouts",2,0.255,0.168,0.129
"Exercise Social Norms Shared (Low)",24,0.25,0.17,0.141
"Planning Benefits Explained",39,0.25,0.185,0.176
"Rigidity Rewarded b",49,0.25,0.246,0.308
"Fitness Questionnaire",25,0.249,0.201,0.214
"Exercise Advice Solicited",11,0.248,0.161,0.123
"Exercise Encouraged with Signed Pledge",18,0.245,0.181,0.176
"Values Affirmation Followed by Diagnosis as Gritty",54,0.241,0.153,0.116
"Exercise Commitment Contract Explained",14,0.237,0.23,0.303
"Rigidity Rewarded c",50,0.221,0.192,0.25
"Following Workout Plan Encouraged",29,0.208,0.175,0.235
"Rigidity Rewarded e",52,0.193,0.176,0.272
"Bonus for Returning after Missed Workouts a",4,0.186,0.188,0.322
"Reflecting on Workouts Rewarded",46,0.181,0.172,0.291
"Exercise Encouraged with Typed Pledge",19,0.177,0.279,0.526
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.166,0.216,0.442
"Exercise Commitment Contract Encouraged",13,0.131,0.16,0.414
"Loss-Framed Micro-Incentives",37,0.108,0.137,0.431
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.107,0.209,0.608
"Exercise Advice Solicited, Shared with Others",12,0.097,0.2,0.627
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.079,0.151,0.602
"Defaulted into 3 Weekly Workouts",9,0.068,0.142,0.63
"Exercise Social Norms Shared (Low but Increasing)",23,0.067,0.172,0.698
"Higher Incentives b",36,0.066,0.25,0.792
"Rigidity Rewarded d",51,0.064,0.2,0.75
"Defaulted into 1 Weekly Workout",8,0.061,0.159,0.704
"Fitness Questionnaire with Decision Support",27,0.04,0.154,0.795
"Bonus for Variable Exercise Schedule",6,0.028,0.268,0.915
"Fun Workouts Encouraged",32,0.022,0.142,0.879
"Exercise Commitment Contract Explained Post-Intervention",15,0.012,0.217,0.955
"Placebo Control",1,0,0,0
"Effective Workouts Encouraged",10,-0,0.187,1
"Exercise Social Norms Shared (High)",22,-0.133,0.201,0.509
"Planning Workouts Encouraged",42,-0.162,0.196,0.408
"Rewarded for Responding to Questions about Workouts",47,-0.179,0.164,0.274
