"factor","treatment_number","coef","sd","pval"
"Higher Incentives a",35,0.721,0.218,0.001
"Planning Fallacy Described and Planning Revision Encouraged",40,0.709,0.314,0.024
"Exercise Fun Facts Shared",20,0.598,0.198,0.003
"Following Workout Plan Encouraged",29,0.595,0.24,0.013
"Planning, Reminders & Micro-Incentives to Exercise",44,0.491,0.184,0.007
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.486,0.234,0.038
"Bonus for Returning after Missed Workouts b",5,0.479,0.472,0.311
"Rigidity Rewarded d",51,0.426,0.283,0.133
"Loss-Framed Micro-Incentives",37,0.406,0.204,0.046
"Rigidity Rewarded a",48,0.404,0.193,0.036
"Bonus for Returning after Missed Workouts a",4,0.401,0.194,0.039
"Rewarded for Responding to Questions about Workouts",47,0.398,0.159,0.012
"Exercise Social Norms Shared (High and Increasing)",21,0.381,0.192,0.047
"Exercise Advice Solicited",11,0.379,0.221,0.086
"Defaulted into 3 Weekly Workouts",9,0.377,0.172,0.028
"Exercise Encouraged with Typed Pledge",19,0.371,0.218,0.09
"Planning Revision Encouraged",41,0.367,0.187,0.049
"Reflecting on Workouts Encouraged",45,0.36,0.157,0.022
"Free Audiobook Provided, Temptation Bundling Explained",31,0.346,0.289,0.231
"Gym Routine Encouraged",34,0.336,0.186,0.07
"Values Affirmation Followed by Diagnosis as Gritty",54,0.329,0.171,0.054
"Fitness Questionnaire",25,0.307,0.195,0.115
"Exercise Encouraged with Signed Pledge",18,0.297,0.221,0.18
"Effective Workouts Encouraged",10,0.288,0.181,0.112
"Bonus for Variable Exercise Schedule",6,0.285,0.258,0.27
"Rigidity Rewarded b",49,0.28,0.261,0.283
"Exercise Social Norms Shared (High)",22,0.276,0.264,0.296
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.261,0.201,0.193
"Exercise Commitment Contract Explained Post-Intervention",15,0.231,0.204,0.257
"Fitness Questionnaire with Decision Support",27,0.221,0.224,0.325
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.213,0.173,0.22
"Fun Workouts Encouraged",32,0.212,0.174,0.224
"Values Affirmation",53,0.211,0.194,0.277
"Rigidity Rewarded e",52,0.209,0.17,0.219
"Exercise Social Norms Shared (Low)",24,0.206,0.182,0.258
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.155,0.209,0.458
"Higher Incentives b",36,0.154,0.202,0.446
"Defaulted into 1 Weekly Workout",8,0.144,0.189,0.446
"Asked Questions about Workouts",2,0.139,0.229,0.544
"Exercise Commitment Contract Explained",14,0.123,0.183,0.502
"Gain-Framed Micro-Incentives",33,0.118,0.197,0.549
"Rigidity Rewarded c",50,0.105,0.194,0.59
"Exercise Commitment Contract Encouraged",13,0.096,0.221,0.664
"Reflecting on Workouts Rewarded",46,0.091,0.168,0.586
"Bonus for Consistent Exercise Schedule",3,0.08,0.228,0.726
"Planning Benefits Explained",39,0.068,0.225,0.762
"Exercise Encouraged",16,0.052,0.189,0.783
"Planning Workouts Rewarded",43,0.025,0.222,0.912
"Exercise Advice Solicited, Shared with Others",12,0.024,0.187,0.897
"Exercise Social Norms Shared (Low but Increasing)",23,0.007,0.182,0.969
"Placebo Control",1,0,0,0
"Planning Workouts Encouraged",42,-0.007,0.193,0.971
"Exercise Encouraged with E-Signed Pledge",17,-0.058,0.171,0.733
"Free Audiobook Provided",30,-0.251,0.428,0.558
