"factor","treatment_number","coef","sd","pval"
"Asked Questions about Workouts",2,0.638,0.33,0.053
"Planning Revision Encouraged",41,0.621,0.238,0.009
"Exercise Commitment Contract Explained",14,0.556,0.232,0.017
"Exercise Social Norms Shared (Low)",24,0.554,0.184,0.003
"Exercise Advice Solicited",11,0.548,0.191,0.004
"Exercise Encouraged",16,0.548,0.199,0.006
"Free Audiobook Provided, Temptation Bundling Explained",31,0.548,0.318,0.085
"Exercise Advice Solicited, Shared with Others",12,0.535,0.208,0.01
"Gain-Framed Micro-Incentives",33,0.512,0.196,0.009
"Fitness Questionnaire",25,0.47,0.209,0.024
"Bonus for Returning after Missed Workouts a",4,0.467,0.351,0.183
"Exercise Encouraged with Typed Pledge",19,0.467,0.224,0.037
"Bonus for Consistent Exercise Schedule",3,0.466,0.226,0.039
"Bonus for Returning after Missed Workouts b",5,0.439,0.225,0.051
"Higher Incentives a",35,0.433,0.274,0.113
"Rigidity Rewarded c",50,0.431,0.268,0.108
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.428,0.168,0.011
"Exercise Social Norms Shared (High and Increasing)",21,0.428,0.192,0.026
"Fitness Questionnaire with Decision Support",27,0.419,0.203,0.039
"Planning Workouts Encouraged",42,0.395,0.214,0.065
"Free Audiobook Provided",30,0.391,0.209,0.061
"Exercise Social Norms Shared (Low but Increasing)",23,0.376,0.175,0.032
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.369,0.187,0.048
"Higher Incentives b",36,0.362,0.15,0.016
"Exercise Fun Facts Shared",20,0.358,0.231,0.121
"Defaulted into 3 Weekly Workouts",9,0.35,0.167,0.036
"Planning Workouts Rewarded",43,0.347,0.203,0.087
"Defaulted into 1 Weekly Workout",8,0.344,0.175,0.05
"Planning Benefits Explained",39,0.343,0.225,0.127
"Exercise Encouraged with Signed Pledge",18,0.338,0.246,0.169
"Rigidity Rewarded e",52,0.331,0.183,0.071
"Values Affirmation Followed by Diagnosis as Gritty",54,0.31,0.157,0.048
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.307,0.169,0.069
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.305,0.193,0.114
"Rigidity Rewarded b",49,0.297,0.203,0.144
"Exercise Social Norms Shared (High)",22,0.286,0.191,0.133
"Planning, Reminders & Micro-Incentives to Exercise",44,0.286,0.193,0.14
"Bonus for Variable Exercise Schedule",6,0.271,0.223,0.225
"Reflecting on Workouts Encouraged",45,0.27,0.202,0.182
"Reflecting on Workouts Rewarded",46,0.252,0.168,0.134
"Rigidity Rewarded a",48,0.24,0.215,0.266
"Gym Routine Encouraged",34,0.204,0.197,0.299
"Exercise Commitment Contract Encouraged",13,0.198,0.206,0.337
"Rigidity Rewarded d",51,0.196,0.181,0.278
"Fun Workouts Encouraged",32,0.171,0.154,0.269
"Loss-Framed Micro-Incentives",37,0.161,0.191,0.398
"Following Workout Plan Encouraged",29,0.152,0.177,0.39
"Values Affirmation",53,0.138,0.17,0.417
"Planning Fallacy Described and Planning Revision Encouraged",40,0.126,0.228,0.582
"Exercise Commitment Contract Explained Post-Intervention",15,0.1,0.189,0.596
"Exercise Encouraged with E-Signed Pledge",17,0.093,0.178,0.601
"Effective Workouts Encouraged",10,0.074,0.198,0.706
"Placebo Control",1,0,0,0
"Rewarded for Responding to Questions about Workouts",47,-0.022,0.307,0.942
