"factor","treatment_number","coef","sd","pval"
"Planning Fallacy Described and Planning Revision Encouraged",40,0.662,0.234,0.005
"Exercise Social Norms Shared (Low)",24,0.457,0.182,0.012
"Exercise Commitment Contract Explained",14,0.422,0.247,0.088
"Bonus for Returning after Missed Workouts a",4,0.393,0.278,0.158
"Rigidity Rewarded a",48,0.341,0.258,0.186
"Exercise Social Norms Shared (High and Increasing)",21,0.319,0.154,0.038
"Exercise Encouraged with Typed Pledge",19,0.307,0.196,0.118
"Free Audiobook Provided",30,0.269,0.264,0.309
"Following Workout Plan Encouraged",29,0.264,0.192,0.17
"Rigidity Rewarded c",50,0.259,0.173,0.134
"Defaulted into 3 Weekly Workouts",9,0.257,0.147,0.08
"Rigidity Rewarded e",52,0.253,0.185,0.171
"Values Affirmation",53,0.239,0.238,0.316
"Free Audiobook Provided, Temptation Bundling Explained",31,0.223,0.183,0.221
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.208,0.146,0.154
"Rigidity Rewarded d",51,0.195,0.211,0.355
"Reflecting on Workouts Encouraged",45,0.182,0.142,0.2
"Values Affirmation Followed by Diagnosis as Gritty",54,0.175,0.146,0.231
"Exercise Social Norms Shared (High)",22,0.165,0.229,0.473
"Rewarded for Responding to Questions about Workouts",47,0.164,0.167,0.325
"Exercise Fun Facts Shared",20,0.148,0.147,0.314
"Exercise Commitment Contract Explained Post-Intervention",15,0.147,0.175,0.401
"Loss-Framed Micro-Incentives",37,0.147,0.158,0.351
"Planning Workouts Encouraged",42,0.139,0.179,0.437
"Bonus for Returning after Missed Workouts b",5,0.125,0.243,0.606
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.121,0.148,0.413
"Bonus for Variable Exercise Schedule",6,0.118,0.185,0.523
"Higher Incentives b",36,0.11,0.193,0.569
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.107,0.168,0.525
"Exercise Encouraged",16,0.096,0.205,0.641
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.094,0.143,0.511
"Effective Workouts Encouraged",10,0.089,0.167,0.595
"Rigidity Rewarded b",49,0.075,0.191,0.694
"Gain-Framed Micro-Incentives",33,0.074,0.245,0.762
"Exercise Commitment Contract Encouraged",13,0.073,0.159,0.645
"Higher Incentives a",35,0.059,0.184,0.749
"Planning, Reminders & Micro-Incentives to Exercise",44,0.054,0.215,0.802
"Gym Routine Encouraged",34,0.043,0.224,0.848
"Bonus for Consistent Exercise Schedule",3,0.039,0.148,0.794
"Exercise Advice Solicited, Shared with Others",12,0.035,0.157,0.822
"Exercise Advice Solicited",11,0.024,0.165,0.883
"Placebo Control",1,0,0,0
"Planning Revision Encouraged",41,-0.024,0.148,0.869
"Asked Questions about Workouts",2,-0.035,0.184,0.85
"Fun Workouts Encouraged",32,-0.042,0.161,0.794
"Planning Benefits Explained",39,-0.046,0.194,0.812
"Fitness Questionnaire with Decision Support",27,-0.068,0.196,0.728
"Exercise Social Norms Shared (Low but Increasing)",23,-0.069,0.182,0.703
"Defaulted into 1 Weekly Workout",8,-0.1,0.168,0.552
"Planning Workouts Rewarded",43,-0.102,0.234,0.663
"Fitness Questionnaire",25,-0.104,0.197,0.597
"Exercise Encouraged with Signed Pledge",18,-0.112,0.15,0.454
"Reflecting on Workouts Rewarded",46,-0.118,0.159,0.459
"Exercise Encouraged with E-Signed Pledge",17,-0.153,0.182,0.401
