"factor","treatment_number","coef","sd","pval"
"Higher Incentives a",35,0.342,0.295,0.246
"Rigidity Rewarded b",49,0.328,0.306,0.283
"Exercise Commitment Contract Explained",14,0.292,0.29,0.314
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.255,0.264,0.334
"Free Audiobook Provided",30,0.242,0.392,0.537
"Exercise Social Norms Shared (High and Increasing)",21,0.237,0.269,0.379
"Following Workout Plan Encouraged",29,0.186,0.277,0.501
"Exercise Fun Facts Shared",20,0.175,0.265,0.508
"Rigidity Rewarded a",48,0.166,0.331,0.615
"Values Affirmation Followed by Diagnosis as Gritty",54,0.165,0.27,0.542
"Asked Questions about Workouts",2,0.162,0.273,0.553
"Planning Fallacy Described and Planning Revision Encouraged",40,0.149,0.3,0.621
"Bonus for Returning after Missed Workouts a",4,0.132,0.326,0.687
"Planning Workouts Encouraged",42,0.114,0.292,0.697
"Higher Incentives b",36,0.091,0.279,0.746
"Exercise Encouraged",16,0.081,0.269,0.765
"Exercise Social Norms Shared (High)",22,0.078,0.29,0.787
"Defaulted into 1 Weekly Workout",8,0.075,0.26,0.773
"Gain-Framed Micro-Incentives",33,0.069,0.276,0.802
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.034,0.259,0.895
"Planning Workouts Rewarded",43,0.017,0.292,0.955
"Placebo Control",1,0,0,0
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,-0.001,0.303,0.996
"Defaulted into 3 Weekly Workouts",9,-0.016,0.265,0.953
"Fun Workouts Encouraged",32,-0.019,0.263,0.942
"Bonus for Consistent Exercise Schedule",3,-0.027,0.309,0.93
"Planning Benefits Explained",39,-0.031,0.269,0.907
"Rigidity Rewarded e",52,-0.032,0.258,0.901
"Fitness Questionnaire with Decision Support",27,-0.04,0.279,0.887
"Reflecting on Workouts Encouraged",45,-0.042,0.291,0.884
"Fitness Questionnaire",25,-0.046,0.277,0.869
"Gym Routine Encouraged",34,-0.054,0.262,0.837
"Planning, Reminders & Micro-Incentives to Exercise",44,-0.094,0.29,0.746
"Exercise Social Norms Shared (Low)",24,-0.109,0.276,0.693
"Reflecting on Workouts Rewarded",46,-0.11,0.256,0.666
"Rigidity Rewarded d",51,-0.115,0.373,0.757
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.122,0.279,0.661
"Exercise Advice Solicited",11,-0.129,0.274,0.639
"Rewarded for Responding to Questions about Workouts",47,-0.129,0.282,0.646
"Loss-Framed Micro-Incentives",37,-0.145,0.283,0.608
"Values Affirmation",53,-0.186,0.27,0.491
"Bonus for Variable Exercise Schedule",6,-0.204,0.34,0.548
"Exercise Encouraged with E-Signed Pledge",17,-0.209,0.27,0.438
"Effective Workouts Encouraged",10,-0.212,0.262,0.417
"Exercise Commitment Contract Explained Post-Intervention",15,-0.212,0.286,0.458
"Planning Revision Encouraged",41,-0.222,0.29,0.444
"Exercise Advice Solicited, Shared with Others",12,-0.224,0.291,0.441
"Rigidity Rewarded c",50,-0.227,0.285,0.426
"Exercise Social Norms Shared (Low but Increasing)",23,-0.238,0.263,0.366
"Bonus for Returning after Missed Workouts b",5,-0.271,0.274,0.323
"Exercise Encouraged with Signed Pledge",18,-0.297,0.319,0.352
"Free Audiobook Provided, Temptation Bundling Explained",31,-0.324,0.341,0.342
"Exercise Commitment Contract Encouraged",13,-0.397,0.282,0.158
"Exercise Encouraged with Typed Pledge",19,-0.44,0.328,0.18
