"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts b",5,0.795,0.242,0.001
"Free Audiobook Provided, Temptation Bundling Explained",31,0.767,0.239,0.001
"Planning Workouts Rewarded",43,0.523,0.313,0.095
"Exercise Encouraged with Typed Pledge",19,0.487,0.21,0.02
"Gym Routine Encouraged",34,0.453,0.181,0.012
"Planning Fallacy Described and Planning Revision Encouraged",40,0.431,0.298,0.148
"Rigidity Rewarded a",48,0.417,0.31,0.178
"Rigidity Rewarded b",49,0.412,0.214,0.054
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.392,0.232,0.091
"Bonus for Returning after Missed Workouts a",4,0.383,0.198,0.052
"Following Workout Plan Encouraged",29,0.377,0.202,0.062
"Values Affirmation",53,0.377,0.222,0.09
"Gain-Framed Micro-Incentives",33,0.375,0.175,0.032
"Rigidity Rewarded d",51,0.357,0.209,0.087
"Fitness Questionnaire",25,0.351,0.163,0.032
"Rigidity Rewarded c",50,0.339,0.238,0.154
"Exercise Social Norms Shared (High and Increasing)",21,0.337,0.178,0.058
"Higher Incentives a",35,0.335,0.25,0.181
"Bonus for Consistent Exercise Schedule",3,0.323,0.177,0.068
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.308,0.21,0.143
"Planning Revision Encouraged",41,0.3,0.198,0.129
"Defaulted into 3 Weekly Workouts",9,0.298,0.18,0.098
"Exercise Commitment Contract Explained",14,0.296,0.196,0.132
"Higher Incentives b",36,0.274,0.22,0.214
"Reflecting on Workouts Encouraged",45,0.268,0.16,0.094
"Reflecting on Workouts Rewarded",46,0.263,0.182,0.148
"Fitness Questionnaire with Decision Support",27,0.258,0.192,0.179
"Free Audiobook Provided",30,0.236,0.28,0.399
"Rewarded for Responding to Questions about Workouts",47,0.233,0.212,0.272
"Exercise Commitment Contract Explained Post-Intervention",15,0.232,0.196,0.235
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.208,0.192,0.279
"Exercise Social Norms Shared (Low)",24,0.204,0.19,0.284
"Values Affirmation Followed by Diagnosis as Gritty",54,0.188,0.226,0.404
"Loss-Framed Micro-Incentives",37,0.187,0.215,0.384
"Exercise Advice Solicited",11,0.181,0.17,0.286
"Exercise Social Norms Shared (Low but Increasing)",23,0.173,0.199,0.383
"Exercise Advice Solicited, Shared with Others",12,0.167,0.219,0.447
"Bonus for Variable Exercise Schedule",6,0.145,0.215,0.501
"Exercise Fun Facts Shared",20,0.141,0.207,0.495
"Exercise Encouraged with E-Signed Pledge",17,0.137,0.211,0.517
"Fun Workouts Encouraged",32,0.135,0.203,0.508
"Effective Workouts Encouraged",10,0.129,0.215,0.55
"Asked Questions about Workouts",2,0.114,0.237,0.631
"Defaulted into 1 Weekly Workout",8,0.081,0.192,0.673
"Exercise Commitment Contract Encouraged",13,0.056,0.185,0.763
"Rigidity Rewarded e",52,0.046,0.154,0.768
"Exercise Encouraged with Signed Pledge",18,0.034,0.231,0.884
"Planning Benefits Explained",39,0.023,0.253,0.927
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.015,0.197,0.938
"Placebo Control",1,0,0,0
"Exercise Encouraged",16,-0.003,0.195,0.99
"Planning, Reminders & Micro-Incentives to Exercise",44,-0.096,0.199,0.631
"Planning Workouts Encouraged",42,-0.118,0.279,0.672
"Exercise Social Norms Shared (High)",22,-0.171,0.282,0.544
