"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts b",5,0.825,0.454,0.069
"Bonus for Returning after Missed Workouts a",4,0.792,0.395,0.045
"Exercise Social Norms Shared (High and Increasing)",21,0.745,0.271,0.006
"Exercise Commitment Contract Explained",14,0.654,0.275,0.017
"Higher Incentives b",36,0.607,0.274,0.026
"Free Audiobook Provided, Temptation Bundling Explained",31,0.59,0.246,0.016
"Rigidity Rewarded c",50,0.589,0.371,0.113
"Free Audiobook Provided",30,0.586,0.389,0.132
"Loss-Framed Micro-Incentives",37,0.555,0.218,0.011
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.542,0.222,0.014
"Planning Workouts Rewarded",43,0.527,0.251,0.036
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.479,0.261,0.066
"Exercise Fun Facts Shared",20,0.472,0.219,0.031
"Rigidity Rewarded e",52,0.446,0.217,0.04
"Asked Questions about Workouts",2,0.444,0.236,0.06
"Bonus for Variable Exercise Schedule",6,0.436,0.229,0.057
"Planning Fallacy Described and Planning Revision Encouraged",40,0.425,0.298,0.153
"Exercise Encouraged with Signed Pledge",18,0.409,0.254,0.107
"Following Workout Plan Encouraged",29,0.403,0.261,0.123
"Values Affirmation",53,0.402,0.258,0.119
"Exercise Advice Solicited",11,0.401,0.252,0.113
"Exercise Social Norms Shared (High)",22,0.392,0.238,0.1
"Fitness Questionnaire",25,0.371,0.233,0.112
"Planning Benefits Explained",39,0.349,0.254,0.169
"Exercise Commitment Contract Encouraged",13,0.339,0.267,0.204
"Planning Workouts Encouraged",42,0.33,0.229,0.15
"Exercise Encouraged",16,0.323,0.261,0.216
"Fitness Questionnaire with Decision Support",27,0.317,0.242,0.19
"Exercise Social Norms Shared (Low)",24,0.311,0.256,0.225
"Defaulted into 1 Weekly Workout",8,0.307,0.239,0.199
"Reflecting on Workouts Rewarded",46,0.304,0.224,0.176
"Exercise Commitment Contract Explained Post-Intervention",15,0.302,0.255,0.236
"Exercise Advice Solicited, Shared with Others",12,0.292,0.257,0.256
"Effective Workouts Encouraged",10,0.284,0.23,0.216
"Rigidity Rewarded a",48,0.278,0.323,0.39
"Exercise Encouraged with Typed Pledge",19,0.269,0.359,0.453
"Reflecting on Workouts Encouraged",45,0.268,0.226,0.235
"Gym Routine Encouraged",34,0.254,0.246,0.302
"Bonus for Consistent Exercise Schedule",3,0.247,0.261,0.344
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.242,0.263,0.358
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.235,0.227,0.302
"Defaulted into 3 Weekly Workouts",9,0.219,0.227,0.335
"Rigidity Rewarded b",49,0.21,0.254,0.408
"Values Affirmation Followed by Diagnosis as Gritty",54,0.204,0.317,0.521
"Planning Revision Encouraged",41,0.194,0.241,0.42
"Planning, Reminders & Micro-Incentives to Exercise",44,0.185,0.248,0.456
"Rigidity Rewarded d",51,0.165,0.296,0.578
"Gain-Framed Micro-Incentives",33,0.142,0.292,0.627
"Exercise Social Norms Shared (Low but Increasing)",23,0.109,0.223,0.624
"Fun Workouts Encouraged",32,0.096,0.238,0.687
"Rewarded for Responding to Questions about Workouts",47,0.075,0.27,0.781
"Exercise Encouraged with E-Signed Pledge",17,0.062,0.239,0.794
"Placebo Control",1,0,0,0
"Higher Incentives a",35,-0.134,0.446,0.763
