"factor","treatment_number","coef","sd","pval"
"Free Audiobook Provided, Temptation Bundling Explained",31,0.524,0.25,0.036
"Exercise Social Norms Shared (High and Increasing)",21,0.421,0.195,0.031
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.38,0.214,0.076
"Higher Incentives b",36,0.348,0.203,0.087
"Planning Workouts Encouraged",42,0.341,0.273,0.212
"Exercise Commitment Contract Explained",14,0.264,0.243,0.278
"Bonus for Variable Exercise Schedule",6,0.263,0.211,0.212
"Fitness Questionnaire",25,0.219,0.19,0.248
"Planning Fallacy Described and Planning Revision Encouraged",40,0.212,0.235,0.366
"Bonus for Returning after Missed Workouts b",5,0.206,0.229,0.367
"Exercise Encouraged",16,0.203,0.227,0.372
"Bonus for Consistent Exercise Schedule",3,0.186,0.18,0.299
"Following Workout Plan Encouraged",29,0.181,0.194,0.352
"Exercise Commitment Contract Explained Post-Intervention",15,0.177,0.196,0.366
"Exercise Encouraged with Signed Pledge",18,0.168,0.214,0.433
"Effective Workouts Encouraged",10,0.157,0.171,0.359
"Exercise Fun Facts Shared",20,0.155,0.205,0.452
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.121,0.19,0.524
"Planning, Reminders & Micro-Incentives to Exercise",44,0.116,0.222,0.601
"Bonus for Returning after Missed Workouts a",4,0.102,0.199,0.606
"Rigidity Rewarded c",50,0.102,0.222,0.646
"Exercise Social Norms Shared (High)",22,0.096,0.212,0.652
"Exercise Social Norms Shared (Low)",24,0.063,0.188,0.739
"Defaulted into 1 Weekly Workout",8,0.06,0.184,0.742
"Asked Questions about Workouts",2,0.058,0.223,0.794
"Loss-Framed Micro-Incentives",37,0.042,0.187,0.823
"Exercise Commitment Contract Encouraged",13,0.041,0.194,0.833
"Fitness Questionnaire with Decision Support",27,0.028,0.18,0.878
"Rigidity Rewarded d",51,0.007,0.281,0.981
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.005,0.177,0.978
"Placebo Control",1,0,0,0
"Rigidity Rewarded e",52,-0.004,0.185,0.982
"Defaulted into 3 Weekly Workouts",9,-0.011,0.189,0.952
"Reflecting on Workouts Encouraged",45,-0.03,0.201,0.88
"Fun Workouts Encouraged",32,-0.04,0.18,0.824
"Gain-Framed Micro-Incentives",33,-0.04,0.266,0.881
"Planning Workouts Rewarded",43,-0.046,0.223,0.835
"Values Affirmation",53,-0.049,0.224,0.826
"Rewarded for Responding to Questions about Workouts",47,-0.05,0.211,0.814
"Free Audiobook Provided",30,-0.067,0.392,0.864
"Values Affirmation Followed by Diagnosis as Gritty",54,-0.099,0.159,0.533
"Planning Revision Encouraged",41,-0.1,0.234,0.668
"Exercise Advice Solicited",11,-0.102,0.178,0.567
"Rigidity Rewarded a",48,-0.104,0.26,0.688
"Exercise Social Norms Shared (Low but Increasing)",23,-0.115,0.22,0.6
"Reflecting on Workouts Rewarded",46,-0.119,0.174,0.493
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.12,0.18,0.506
"Higher Incentives a",35,-0.132,0.426,0.757
"Gym Routine Encouraged",34,-0.162,0.207,0.433
"Exercise Encouraged with Typed Pledge",19,-0.183,0.343,0.593
"Planning Benefits Explained",39,-0.213,0.207,0.305
"Exercise Advice Solicited, Shared with Others",12,-0.345,0.192,0.073
"Exercise Encouraged with E-Signed Pledge",17,-0.35,0.216,0.104
"Rigidity Rewarded b",49,-0.387,0.307,0.208
