"factor","treatment_number","coef","sd","pval"
"Free Audiobook Provided",30,0.912,0.239,0
"Planning, Reminders & Micro-Incentives to Exercise",44,0.629,0.236,0.008
"Following Workout Plan Encouraged",29,0.605,0.214,0.005
"Exercise Social Norms Shared (High and Increasing)",21,0.593,0.256,0.021
"Defaulted into 3 Weekly Workouts",9,0.563,0.187,0.003
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.492,0.23,0.032
"Planning Workouts Rewarded",43,0.454,0.234,0.052
"Bonus for Returning after Missed Workouts b",5,0.444,0.287,0.122
"Exercise Encouraged with E-Signed Pledge",17,0.432,0.278,0.12
"Exercise Advice Solicited",11,0.425,0.23,0.065
"Values Affirmation Followed by Diagnosis as Gritty",54,0.422,0.219,0.054
"Exercise Fun Facts Shared",20,0.407,0.239,0.089
"Fitness Questionnaire",25,0.397,0.219,0.069
"Planning Fallacy Described and Planning Revision Encouraged",40,0.394,0.213,0.065
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.383,0.221,0.083
"Higher Incentives a",35,0.374,0.339,0.27
"Rigidity Rewarded a",48,0.352,0.301,0.243
"Bonus for Returning after Missed Workouts a",4,0.322,0.292,0.27
"Exercise Commitment Contract Encouraged",13,0.317,0.219,0.148
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.315,0.209,0.132
"Free Audiobook Provided, Temptation Bundling Explained",31,0.308,0.218,0.159
"Exercise Encouraged",16,0.286,0.245,0.243
"Higher Incentives b",36,0.278,0.204,0.173
"Reflecting on Workouts Encouraged",45,0.272,0.182,0.134
"Loss-Framed Micro-Incentives",37,0.268,0.235,0.254
"Planning Benefits Explained",39,0.268,0.2,0.18
"Exercise Social Norms Shared (Low but Increasing)",23,0.266,0.202,0.188
"Reflecting on Workouts Rewarded",46,0.26,0.194,0.181
"Exercise Encouraged with Typed Pledge",19,0.255,0.3,0.396
"Effective Workouts Encouraged",10,0.253,0.194,0.192
"Rigidity Rewarded e",52,0.248,0.177,0.161
"Bonus for Consistent Exercise Schedule",3,0.237,0.225,0.292
"Exercise Commitment Contract Explained Post-Intervention",15,0.234,0.198,0.236
"Fun Workouts Encouraged",32,0.219,0.205,0.286
"Planning Workouts Encouraged",42,0.216,0.275,0.432
"Bonus for Variable Exercise Schedule",6,0.207,0.281,0.46
"Rigidity Rewarded d",51,0.207,0.251,0.409
"Exercise Commitment Contract Explained",14,0.203,0.2,0.309
"Exercise Social Norms Shared (High)",22,0.196,0.21,0.352
"Exercise Social Norms Shared (Low)",24,0.193,0.199,0.334
"Gain-Framed Micro-Incentives",33,0.188,0.204,0.355
"Fitness Questionnaire with Decision Support",27,0.124,0.235,0.596
"Values Affirmation",53,0.114,0.201,0.572
"Planning Revision Encouraged",41,0.098,0.254,0.699
"Rewarded for Responding to Questions about Workouts",47,0.09,0.181,0.62
"Gym Routine Encouraged",34,0.082,0.203,0.686
"Rigidity Rewarded c",50,0.082,0.212,0.699
"Exercise Encouraged with Signed Pledge",18,0.076,0.263,0.772
"Defaulted into 1 Weekly Workout",8,0.071,0.204,0.729
"Exercise Advice Solicited, Shared with Others",12,0.043,0.207,0.835
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.034,0.19,0.857
"Placebo Control",1,0,0,0
"Asked Questions about Workouts",2,-0.134,0.285,0.638
"Rigidity Rewarded b",49,-0.3,0.232,0.196
