"factor","treatment_number","coef","sd","pval"
"Bonus for Returning after Missed Workouts a",4,0.402,0.221,0.069
"Exercise Commitment Contract Explained",14,0.394,0.273,0.15
"Free Audiobook Provided",30,0.342,0.363,0.347
"Exercise Social Norms Shared (High and Increasing)",21,0.274,0.167,0.101
"Fitness Questionnaire",25,0.26,0.185,0.159
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.235,0.178,0.188
"Higher Incentives a",35,0.232,0.234,0.323
"Exercise Encouraged",16,0.2,0.191,0.295
"Values Affirmation Followed by Diagnosis as Gritty",54,0.189,0.171,0.267
"Rigidity Rewarded c",50,0.175,0.249,0.482
"Rigidity Rewarded e",52,0.17,0.166,0.308
"Planning Benefits Explained",39,0.161,0.192,0.402
"Defaulted into 3 Weekly Workouts",9,0.155,0.164,0.345
"Exercise Encouraged with E-Signed Pledge",17,0.144,0.218,0.509
"Exercise Social Norms Shared (Low)",24,0.143,0.199,0.473
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.128,0.187,0.496
"Planning Revision Encouraged",41,0.126,0.222,0.57
"Gain-Framed Micro-Incentives",33,0.125,0.177,0.481
"Loss-Framed Micro-Incentives",37,0.113,0.191,0.554
"Bonus for Returning after Missed Workouts b",5,0.11,0.231,0.633
"Values Affirmation",53,0.105,0.263,0.689
"Fitness Questionnaire with Decision Support",27,0.097,0.193,0.616
"Exercise Encouraged with Signed Pledge",18,0.095,0.195,0.625
"Exercise Encouraged with Typed Pledge",19,0.085,0.247,0.732
"Following Workout Plan Encouraged",29,0.082,0.176,0.642
"Bonus for Consistent Exercise Schedule",3,0.069,0.211,0.743
"Exercise Advice Solicited",11,0.051,0.181,0.779
"Reflecting on Workouts Encouraged",45,0.025,0.154,0.872
"Rewarded for Responding to Questions about Workouts",47,0.023,0.178,0.897
"Placebo Control",1,0,0,0
"Fun Workouts Encouraged",32,-0.009,0.164,0.955
"Free Audiobook Provided, Temptation Bundling Explained",31,-0.01,0.213,0.964
"Planning Workouts Rewarded",43,-0.027,0.199,0.893
"Asked Questions about Workouts",2,-0.03,0.214,0.89
"Reflecting on Workouts Rewarded",46,-0.033,0.174,0.85
"Rigidity Rewarded a",48,-0.041,0.267,0.877
"Exercise Fun Facts Shared",20,-0.064,0.187,0.733
"Defaulted into 1 Weekly Workout",8,-0.07,0.177,0.692
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.075,0.173,0.666
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,-0.085,0.155,0.585
"Exercise Commitment Contract Encouraged",13,-0.086,0.179,0.631
"Exercise Advice Solicited, Shared with Others",12,-0.105,0.181,0.562
"Planning Fallacy Described and Planning Revision Encouraged",40,-0.108,0.192,0.574
"Bonus for Variable Exercise Schedule",6,-0.136,0.255,0.594
"Planning, Reminders & Micro-Incentives to Exercise",44,-0.137,0.206,0.507
"Effective Workouts Encouraged",10,-0.14,0.148,0.344
"Gym Routine Encouraged",34,-0.153,0.169,0.364
"Higher Incentives b",36,-0.154,0.228,0.499
"Exercise Commitment Contract Explained Post-Intervention",15,-0.17,0.203,0.402
"Exercise Social Norms Shared (Low but Increasing)",23,-0.183,0.226,0.417
"Planning Workouts Encouraged",42,-0.235,0.192,0.221
"Rigidity Rewarded d",51,-0.352,0.205,0.086
"Exercise Social Norms Shared (High)",22,-0.447,0.225,0.047
"Rigidity Rewarded b",49,-0.601,0.246,0.014
