"factor","treatment_number","coef","sd","pval"
"Free Audiobook Provided",30,1.064,0.306,0.001
"Exercise Commitment Contract Explained",14,0.551,0.223,0.013
"Bonus for Returning after Missed Workouts b",5,0.549,0.392,0.161
"Planning Fallacy Described and Planning Revision Encouraged",40,0.539,0.238,0.023
"Exercise Social Norms Shared (High and Increasing)",21,0.445,0.183,0.015
"Rigidity Rewarded a",48,0.361,0.289,0.212
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.356,0.159,0.025
"Planning Workouts Encouraged",42,0.326,0.178,0.067
"Gain-Framed Micro-Incentives",33,0.302,0.177,0.088
"Planning Benefits Explained",39,0.301,0.17,0.077
"Exercise Fun Facts Shared",20,0.3,0.205,0.143
"Planning Revision Encouraged",41,0.297,0.241,0.217
"Exercise Social Norms Shared (High)",22,0.296,0.19,0.119
"Following Workout Plan Encouraged",29,0.296,0.179,0.099
"Reflecting on Workouts Encouraged",45,0.29,0.157,0.065
"Rigidity Rewarded c",50,0.275,0.241,0.253
"Exercise Encouraged with Signed Pledge",18,0.22,0.161,0.172
"Gym Routine Encouraged",34,0.216,0.189,0.252
"Effective Workouts Encouraged",10,0.214,0.182,0.238
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.205,0.196,0.294
"Exercise Commitment Contract Explained Post-Intervention",15,0.197,0.169,0.242
"Planning Workouts Rewarded",43,0.177,0.223,0.428
"Exercise Advice Solicited",11,0.165,0.178,0.353
"Exercise Encouraged",16,0.164,0.234,0.484
"Exercise Social Norms Shared (Low)",24,0.161,0.158,0.31
"Planning, Reminders & Micro-Incentives to Exercise",44,0.159,0.202,0.43
"Exercise Commitment Contract Encouraged",13,0.147,0.184,0.426
"Loss-Framed Micro-Incentives",37,0.133,0.206,0.519
"Exercise Social Norms Shared (Low but Increasing)",23,0.129,0.194,0.507
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,0.128,0.172,0.459
"Asked Questions about Workouts",2,0.125,0.269,0.641
"Higher Incentives b",36,0.119,0.211,0.571
"Defaulted into 3 Weekly Workouts",9,0.109,0.176,0.536
"Exercise Advice Solicited, Shared with Others",12,0.107,0.182,0.557
"Values Affirmation Followed by Diagnosis as Gritty",54,0.107,0.177,0.544
"Rewarded for Responding to Questions about Workouts",47,0.1,0.192,0.603
"Values Affirmation",53,0.089,0.192,0.642
"Exercise Encouraged with Typed Pledge",19,0.077,0.167,0.644
"Rigidity Rewarded e",52,0.073,0.157,0.64
"Reflecting on Workouts Rewarded",46,0.054,0.184,0.768
"Exercise Encouraged with E-Signed Pledge",17,0.052,0.166,0.755
"Fun Workouts Encouraged",32,0.041,0.188,0.827
"Higher Incentives a",35,0.04,0.383,0.916
"Fitness Questionnaire",25,0.019,0.164,0.909
"Placebo Control",1,0,0,0
"Rigidity Rewarded b",49,-0.017,0.377,0.963
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,-0.019,0.163,0.909
"Rigidity Rewarded d",51,-0.035,0.258,0.893
"Defaulted into 1 Weekly Workout",8,-0.055,0.164,0.738
"Bonus for Returning after Missed Workouts a",4,-0.068,0.193,0.725
"Bonus for Consistent Exercise Schedule",3,-0.083,0.194,0.668
"Bonus for Variable Exercise Schedule",6,-0.13,0.196,0.506
"Free Audiobook Provided, Temptation Bundling Explained",31,-0.179,0.216,0.408
"Fitness Questionnaire with Decision Support",27,-0.288,0.168,0.087
