"factor","treatment_number","coef","sd","pval"
"Values Affirmation",53,0.268,0.186,0.15
"Free Audiobook Provided, Temptation Bundling Explained",31,0.261,0.203,0.2
"Fitness Questionnaire",25,0.21,0.185,0.257
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,0.21,0.205,0.307
"Following Workout Plan Encouraged",29,0.198,0.198,0.316
"Bonus for Returning after Missed Workouts b",5,0.184,0.199,0.356
"Exercise Commitment Contract Explained",14,0.178,0.214,0.405
"Exercise Encouraged with E-Signed Pledge",17,0.177,0.192,0.357
"Higher Incentives a",35,0.155,0.249,0.533
"Exercise Social Norms Shared (Low)",24,0.147,0.167,0.379
"Rigidity Rewarded a",48,0.128,0.399,0.748
"Rigidity Rewarded e",52,0.114,0.181,0.528
"Rigidity Rewarded c",50,0.112,0.197,0.567
"Higher Incentives b",36,0.105,0.181,0.561
"Planning Workouts Encouraged",42,0.104,0.17,0.541
"Exercise Social Norms Shared (Low but Increasing)",23,0.094,0.145,0.517
"Values Affirmation Followed by Diagnosis as Gritty",54,0.091,0.13,0.484
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.078,0.15,0.605
"Defaulted into 3 Weekly Workouts",9,0.075,0.158,0.635
"Exercise Encouraged",16,0.074,0.173,0.669
"Rewarded for Responding to Questions about Workouts",47,0.064,0.156,0.683
"Exercise Commitment Contract Explained Post-Intervention",15,0.058,0.145,0.69
"Exercise Advice Solicited",11,0.052,0.164,0.75
"Rigidity Rewarded d",51,0.022,0.222,0.921
"Loss-Framed Micro-Incentives",37,0.014,0.135,0.916
"Placebo Control",1,0,0,0
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0,0.176,0.998
"Free Audiobook Provided",30,-0.032,0.541,0.953
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,-0.046,0.139,0.74
"Exercise Encouraged with Typed Pledge",19,-0.048,0.273,0.86
"Exercise Social Norms Shared (High and Increasing)",21,-0.051,0.139,0.713
"Reflecting on Workouts Rewarded",46,-0.052,0.152,0.731
"Bonus for Consistent Exercise Schedule",3,-0.053,0.167,0.751
"Exercise Advice Solicited, Shared with Others",12,-0.053,0.175,0.76
"Planning Benefits Explained",39,-0.057,0.168,0.735
"Defaulted into 1 Weekly Workout",8,-0.06,0.159,0.708
"Exercise Fun Facts Shared",20,-0.067,0.204,0.744
"Planning, Reminders & Micro-Incentives to Exercise",44,-0.068,0.16,0.671
"Bonus for Variable Exercise Schedule",6,-0.07,0.225,0.755
"Effective Workouts Encouraged",10,-0.074,0.155,0.636
"Bonus for Returning after Missed Workouts a",4,-0.075,0.225,0.739
"Rigidity Rewarded b",49,-0.082,0.151,0.587
"Exercise Encouraged with Signed Pledge",18,-0.087,0.163,0.595
"Fun Workouts Encouraged",32,-0.097,0.142,0.492
"Exercise Commitment Contract Encouraged",13,-0.109,0.171,0.523
"Exercise Social Norms Shared (High)",22,-0.118,0.222,0.596
"Planning Fallacy Described and Planning Revision Encouraged",40,-0.129,0.192,0.501
"Reflecting on Workouts Encouraged",45,-0.199,0.185,0.282
"Gain-Framed Micro-Incentives",33,-0.217,0.228,0.341
"Asked Questions about Workouts",2,-0.222,0.182,0.222
"Gym Routine Encouraged",34,-0.304,0.15,0.042
"Fitness Questionnaire with Decision Support",27,-0.313,0.21,0.136
"Planning Revision Encouraged",41,-0.328,0.19,0.085
"Planning Workouts Rewarded",43,-0.431,0.203,0.034
